geo,date,yhat
AT,2023-03-01,152
BE,2023-03-01,193.2
BG,2023-03-01,182.7
CY,2023-03-01,141.1
CZ,2023-03-01,150.5
DE,2023-03-01,156.6
DK,2023-03-01,191.1
EE,2023-03-01,175.7
EL,2023-03-01,144
ES,2023-03-01,157.2
FI,2023-03-01,141.3
FR,2023-03-01,150.9
HR,2023-03-01,147.8
HU,2023-03-01,280.8
IE,2023-03-01,NA
IT,2023-03-01,158.2
LT,2023-03-01,166.7
LU,2023-03-01,138.7
LV,2023-03-01,195.2
MT,2023-03-01,117.7
NL,2023-03-01,168.6
PL,2023-03-01,177.1
PT,2023-03-01,137.4
RO,2023-03-01,241.7
SI,2023-03-01,151
SK,2023-03-01,200.5
