month_end,geo,yhat,fourier_order,bic,aicc,sigma2,loglik,rmse,mae,acf
2022-11-01,AT,4282447.228713182,4,-1842.71595293386,-1904.8945966603458,4.431526524385375e-4,969.1687837413135,0.3056213890498676,0.19132947246047374,0.010210982140603004
2022-12-01,AT,7562451.105341176,4,-1842.71595293386,-1904.8945966603458,4.431526524385375e-4,969.1687837413135,0.3056213890498676,0.19132947246047374,0.010210982140603004
2023-01-01,AT,10510297.077543054,4,-1842.71595293386,-1904.8945966603458,4.431526524385375e-4,969.1687837413135,0.3056213890498676,0.19132947246047374,0.010210982140603004
2023-02-01,AT,10318285.777281852,4,-1842.71595293386,-1904.8945966603458,4.431526524385375e-4,969.1687837413135,0.3056213890498676,0.19132947246047374,0.010210982140603004
2022-12-01,BE,2127450.366224488,6,-2032.4582078404794,-2090.833630210107,2.763487074540654e-4,1061.0517357399742,0.21439868662284356,0.11351313031620608,0.0085492062112749
2023-01-01,BE,1314301.2910045618,6,-2032.4582078404794,-2090.833630210107,2.763487074540654e-4,1061.0517357399742,0.21439868662284356,0.11351313031620608,0.0085492062112749
2023-02-01,BE,1590845.0943270812,6,-2032.4582078404794,-2090.833630210107,2.763487074540654e-4,1061.0517357399742,0.21439868662284356,0.11351313031620608,0.0085492062112749
2023-03-01,BE,1887661.7223511315,6,-2032.4582078404794,-2090.833630210107,2.763487074540654e-4,1061.0517357399742,0.21439868662284356,0.11351313031620608,0.0085492062112749
2022-11-01,CY,558964.5937749507,6,-897.034022132987,-949.3083947806058,0.0016835885275504096,490.5880495303807,0.4137877179004046,0.1732566371155969,-0.026225216189872554
2022-12-01,CY,257119.96067890865,6,-897.034022132987,-949.3083947806058,0.0016835885275504096,490.5880495303807,0.4137877179004046,0.1732566371155969,-0.026225216189872554
2023-01-01,CY,212296.69279497722,6,-897.034022132987,-949.3083947806058,0.0016835885275504096,490.5880495303807,0.4137877179004046,0.1732566371155969,-0.026225216189872554
2023-02-01,CY,233569.3420464379,6,-897.034022132987,-949.3083947806058,0.0016835885275504096,490.5880495303807,0.4137877179004046,0.1732566371155969,-0.026225216189872554
2022-12-01,CZ,2624837.1528358953,5,-1213.5209780725172,-1261.097658203413,3.5904177606926467e-4,645.438659610181,0.2420096750215042,0.10574476112073151,0.05731871686072058
2023-01-01,CZ,2513196.652539,5,-1213.5209780725172,-1261.097658203413,3.5904177606926467e-4,645.438659610181,0.2420096750215042,0.10574476112073151,0.05731871686072058
2023-02-01,CZ,2830648.700535788,5,-1213.5209780725172,-1261.097658203413,3.5904177606926467e-4,645.438659610181,0.2420096750215042,0.10574476112073151,0.05731871686072058
2023-03-01,CZ,2708594.4292755537,5,-1213.5209780725172,-1261.097658203413,3.5904177606926467e-4,645.438659610181,0.2420096750215042,0.10574476112073151,0.05731871686072058
2022-12-01,DE,23648590.709495094,6,-2552.6250498007685,-2622.375366168131,7.13975960715431e-5,1330.0996830840656,0.13407711319942162,0.06773579998511814,-0.006777081202636887
2023-01-01,DE,20908641.44718891,6,-2552.6250498007685,-2622.375366168131,7.13975960715431e-5,1330.0996830840656,0.13407711319942162,0.06773579998511814,-0.006777081202636887
2023-02-01,DE,22714569.649467025,6,-2552.6250498007685,-2622.375366168131,7.13975960715431e-5,1330.0996830840656,0.13407711319942162,0.06773579998511814,-0.006777081202636887
2023-03-01,DE,25682175.160117194,6,-2552.6250498007685,-2622.375366168131,7.13975960715431e-5,1330.0996830840656,0.13407711319942162,0.06773579998511814,-0.006777081202636887
2022-12-01,DK,1703608.77340357,5,-1109.0643453329146,-1149.2874027223795,1.3083214376707498e-4,588.6719499487604,0.15655247028570288,0.10715253701358844,0.060342673051947335
2023-01-01,DK,1074884.6914363562,5,-1109.0643453329146,-1149.2874027223795,1.3083214376707498e-4,588.6719499487604,0.15655247028570288,0.10715253701358844,0.060342673051947335
2023-02-01,DK,1241211.7679787858,5,-1109.0643453329146,-1149.2874027223795,1.3083214376707498e-4,588.6719499487604,0.15655247028570288,0.10715253701358844,0.060342673051947335
2023-03-01,DK,1554103.31627465,5,-1109.0643453329146,-1149.2874027223795,1.3083214376707498e-4,588.6719499487604,0.15655247028570288,0.10715253701358844,0.060342673051947335
2022-12-01,GR,1615070.9467809282,6,-1652.6044608057196,-1712.4939857659135,3.9158076272194484e-4,873.0737406033215,0.2596164777534156,0.11444705131216265,-0.0026387398584479306
2023-01-01,GR,1292637.4791765516,6,-1652.6044608057196,-1712.4939857659135,3.9158076272194484e-4,873.0737406033215,0.2596164777534156,0.11444705131216265,-0.0026387398584479306
2023-02-01,GR,1214240.108446697,6,-1652.6044608057196,-1712.4939857659135,3.9158076272194484e-4,873.0737406033215,0.2596164777534156,0.11444705131216265,-0.0026387398584479306
2023-03-01,GR,1605930.3504075196,6,-1652.6044608057196,-1712.4939857659135,3.9158076272194484e-4,873.0737406033215,0.2596164777534156,0.11444705131216265,-0.0026387398584479306
2022-12-01,ES,21603351.47504101,6,-2352.2695262929738,-2410.6034609219414,1.2097598103829106e-4,1220.9383352355064,0.16411290896675135,0.0823590681224787,-0.4162952404224412
2023-01-01,ES,21213175.438104905,6,-2352.2695262929738,-2410.6034609219414,1.2097598103829106e-4,1220.9383352355064,0.16411290896675135,0.0823590681224787,-0.4162952404224412
2023-02-01,ES,23046080.786139116,6,-2352.2695262929738,-2410.6034609219414,1.2097598103829106e-4,1220.9383352355064,0.16411290896675135,0.0823590681224787,-0.4162952404224412
