time,country_code,cc_fooddrink,cc_restaurant,cc_groc,cc_fastfood
2018-08-01,BE,62,69,57,68
2018-09-01,BE,63,62,54,63
2018-10-01,BE,66,64,55,66
2018-11-01,BE,71,67,61,67
2018-12-01,BE,86,70,85,79
2019-01-01,BE,70,66,56,68
2019-02-01,BE,70,67,54,67
2019-03-01,BE,69,68,58,77
2019-04-01,BE,69,68,64,71
2019-05-01,BE,70,70,58,72
2019-06-01,BE,69,70,66,76
2019-07-01,BE,65,72,62,75
2019-08-01,BE,74,77,64,80
2019-09-01,BE,66,68,61,71
2019-10-01,BE,71,69,65,82
2019-11-01,BE,74,76,72,79
2019-12-01,BE,89,75,85,94
2020-01-01,BE,71,68,60,76
2020-02-01,BE,74,72,57,79
2020-03-01,BE,76,50,86,81
2020-04-01,BE,91,45,79,90
2020-05-01,BE,87,52,81,93
2020-06-01,BE,79,70,72,88
2020-07-01,BE,78,78,68,91
2020-08-01,BE,75,78,75,92
2020-09-01,BE,69,69,69,81
2020-10-01,BE,81,65,64,86
2020-11-01,BE,82,53,77,94
2020-12-01,BE,95,56,82,95
2021-01-01,BE,78,51,66,89
2021-02-01,BE,78,53,61,90
2021-03-01,BE,76,51,63,87
2021-04-01,BE,78,53,71,96
2021-05-01,BE,80,67,74,96
2021-06-01,BE,74,75,61,89
2021-07-01,BE,71,80,66,100
2021-08-01,BE,74,83,62,97
2021-09-01,BE,67,77,57,86
2021-10-01,BE,74,75,60,89
2021-11-01,BE,80,70,67,91
2021-12-01,BE,84,66,78,90
2022-01-01,BE,73,65,60,83
2022-02-01,BE,71,67,53,81
2022-03-01,BE,63,63,52,80
2022-04-01,BE,73,69,62,84
2022-05-01,BE,67,70,58,83
2022-06-01,BE,68,69,60,87
2022-07-01,BE,66,72,66,90
2022-08-01,BE,71,70,63,90
2022-09-01,BE,65,61,59,79
