time,country_code,cc_fooddrink,cc_restaurant,cc_groc,cc_fastfood
2018-08-01,AT,73,85,67,89
2018-09-01,AT,72,79,60,83
2018-10-01,AT,77,80,62,79
2018-11-01,AT,77,79,62,78
2018-12-01,AT,91,82,95,89
2019-01-01,AT,73,80,61,92
2019-02-01,AT,76,82,61,85
2019-03-01,AT,78,86,68,87
2019-04-01,AT,76,83,71,89
2019-05-01,AT,75,86,68,89
2019-06-01,AT,73,86,74,83
2019-07-01,AT,79,91,74,89
2019-08-01,AT,78,97,70,92
2019-09-01,AT,78,86,68,83
2019-10-01,AT,78,86,68,83
2019-11-01,AT,82,88,70,83
2019-12-01,AT,97,90,91,92
2020-01-01,AT,80,90,65,93
2020-02-01,AT,81,88,69,84
2020-03-01,AT,89,62,89,86
2020-04-01,AT,99,64,80,100
2020-05-01,AT,92,72,76,90
2020-06-01,AT,85,85,71,84
2020-07-01,AT,86,93,77,86
2020-08-01,AT,85,97,72,87
2020-09-01,AT,85,86,69,76
2020-10-01,AT,85,77,69,82
2020-11-01,AT,90,67,72,82
2020-12-01,AT,100,62,100,85
2021-01-01,AT,83,62,76,87
2021-02-01,AT,83,61,68,80
2021-03-01,AT,83,61,72,79
2021-04-01,AT,85,59,76,79
2021-05-01,AT,87,79,70,87
2021-06-01,AT,72,85,69,79
2021-07-01,AT,84,96,73,86
2021-08-01,AT,82,100,69,97
2021-09-01,AT,79,90,65,78
2021-10-01,AT,84,89,63,81
2021-11-01,AT,82,74,70,71
2021-12-01,AT,87,68,88,79
2022-01-01,AT,83,79,62,80
2022-02-01,AT,80,79,62,80
2022-03-01,AT,76,73,64,68
2022-04-01,AT,77,78,66,81
2022-05-01,AT,71,76,63,75
2022-06-01,AT,72,84,65,77
2022-07-01,AT,76,86,74,83
2022-08-01,AT,79,85,65,83
2022-09-01,AT,75,76,61,71
