time,country_code,cc_fooddrink,cc_restaurant,cc_groc,cc_fastfood
2018-08-01,SK,71,67,56,71
2018-09-01,SK,73,63,42,69
2018-10-01,SK,72,66,44,72
2018-11-01,SK,74,82,46,72
2018-12-01,SK,86,87,71,71
2019-01-01,SK,74,59,51,80
2019-02-01,SK,72,58,52,71
2019-03-01,SK,74,70,43,81
2019-04-01,SK,70,65,42,71
2019-05-01,SK,71,73,45,82
2019-06-01,SK,67,65,45,83
2019-07-01,SK,70,66,40,75
2019-08-01,SK,71,72,40,82
2019-09-01,SK,70,64,44,76
2019-10-01,SK,73,70,51,77
2019-11-01,SK,84,92,100,75
2019-12-01,SK,92,100,75,84
2020-01-01,SK,80,69,77,89
2020-02-01,SK,80,70,87,87
2020-03-01,SK,89,52,71,75
2020-04-01,SK,95,52,80,84
2020-05-01,SK,91,65,70,90
2020-06-01,SK,86,68,67,88
2020-07-01,SK,79,73,63,95
2020-08-01,SK,82,72,64,86
2020-09-01,SK,78,66,63,83
2020-10-01,SK,85,75,71,86
2020-11-01,SK,86,63,78,84
2020-12-01,SK,100,65,85,96
2021-01-01,SK,87,58,65,84
2021-02-01,SK,96,64,78,92
2021-03-01,SK,88,62,72,86
2021-04-01,SK,85,59,59,85
2021-05-01,SK,76,66,58,90
2021-06-01,SK,70,67,55,88
2021-07-01,SK,72,69,45,91
2021-08-01,SK,77,69,55,90
2021-09-01,SK,67,66,54,79
2021-10-01,SK,76,62,56,75
2021-11-01,SK,77,64,80,74
2021-12-01,SK,84,64,77,83
2022-01-01,SK,85,72,60,100
2022-02-01,SK,85,72,62,97
2022-03-01,SK,77,76,55,90
2022-04-01,SK,85,79,56,91
2022-05-01,SK,74,75,54,87
2022-06-01,SK,75,74,53,92
2022-07-01,SK,80,77,55,96
2022-08-01,SK,79,77,59,95
2022-09-01,SK,76,68,60,84
