country,TrainRMSE,TrainRsquared,TrainMAE,method
Austria,0.831381012536609,0.35744834217969135,0.7131986838746392,RAI
Austria,0.7250780247262208,0.5054777759771394,0.5998846604918757,svmRadialSigma
Austria,0.7154366389417369,0.515550041052525,0.5903627633469529,gbm
Austria,0.6961947110163306,0.5513046333088847,0.5905652424397282,rf
Austria,0.8095694060030505,0.42552589247101735,0.6742734896659565,brnn
Austria,0.7572813681976738,0.47715320313264825,0.6274758887767592,xgbTree
Austria,0.8120570823536885,0.4351608877021045,0.6766966192117843,svmPoly
Austria,0.8725228873425716,0.3361362657951112,0.7442431417660466,svmLinear3
Belgium,0.5732997003086815,0.6007079912225244,0.4378786973375544,RAI
Belgium,0.5505416536644383,0.6413523502646519,0.4146214041867054,svmRadialSigma
Belgium,0.5614898925410577,0.6187849220589987,0.4405150517570698,gbm
Belgium,0.5493741880856988,0.6380134006090323,0.42257367583936917,rf
Belgium,0.6330733118067733,0.5492379210560749,0.49207852665373947,brnn
Belgium,0.5407993765013372,0.6456983980738987,0.41630326010614777,xgbTree
Belgium,0.661860104918333,0.5418272509991543,0.5140203054361403,svmPoly
Belgium,0.6463466750948946,0.5484255344122365,0.4967466339351745,svmLinear3
Cyprus,0.6370659000350223,0.5898233408446922,0.5294296031178194,RAI
Cyprus,0.5974474720659592,0.6474576848890643,0.48140381252629943,svmRadialSigma
Cyprus,0.6082452961681347,0.6393281272412302,0.4811084619819615,gbm
Cyprus,0.6314373052982853,0.6090869402566478,0.5121919752840822,rf
Cyprus,0.663980418139386,0.6040085448942357,0.5183040508001361,brnn
Cyprus,0.6227677423641902,0.6078830555234935,0.48684950859381515,xgbTree
Cyprus,0.7052100816628288,0.5625076515652794,0.559786058778087,svmPoly
Cyprus,0.7811603545973832,0.46229009167742713,0.6783430198148462,svmLinear3
Czech Republic,1.0217343709045552,0,0.7398363553567596,RAI
Czech Republic,0.7672625998559123,0.46526516879913427,0.5292275550640293,svmRadialSigma
Czech Republic,0.7624757666067622,0.45464641342125717,0.5663719863219698,gbm
Czech Republic,0.777494187221061,0.4443342229873055,0.5771109357530747,rf
Czech Republic,0.9378679929685321,0.39804232467255246,0.656506426287469,brnn
Czech Republic,0.8198112007690443,0.3833136079299052,0.5848504142422273,xgbTree
Czech Republic,0.9967729777327756,0.23705075168007958,0.6728763786492079,svmPoly
Czech Republic,0.939109337435554,0.23836437993085946,0.7046080255752972,svmLinear3
Germany,0.5025875750341239,0.7726621088425913,0.3939021302349496,RAI
Germany,0.5065818018067916,0.7779568896329349,0.40264508535777677,svmRadialSigma
Germany,0.49564850813783384,0.7711858365905409,0.379037124583747,gbm
Germany,0.504089072554628,0.7679423218596448,0.38996443417029963,rf
Germany,0.5146470763296646,0.76165334180391,0.40429128574392614,brnn
Germany,0.5419296188016373,0.7441541143121184,0.41100790059270687,xgbTree
Germany,0.5004490295559764,0.7879865727988131,0.3983984424432774,svmPoly
Germany,0.582270561322231,0.7042769727997871,0.47787553855348786,svmLinear3
Denmark,0.5118093553181857,0.7073725332604519,0.37472032986131976,RAI
Denmark,0.567230911141842,0.6466759812357588,0.40136575268059993,svmRadialSigma
Denmark,0.4961246874396427,0.7183860312349984,0.3777891198463408,gbm
Denmark,0.4908837625124482,0.7296814968786818,0.37324942784759846,rf
Denmark,0.50993083647848,0.7146375103743361,0.385569866982673,brnn
Denmark,0.515960132439744,0.7214460887656842,0.39025980603239313,xgbTree
Denmark,0.5344714995471692,0.7046993635052593,0.40115306036261283,svmPoly
Denmark,0.5356531025044219,0.6895236641966598,0.4122962294715513,svmLinear3
Greece,0.526783698268707,0.7873579036817007,0.3992419415730086,RAI
Greece,0.5480806827887992,0.7730603374806622,0.40415989642124345,svmRadialSigma
Greece,0.5167126128234382,0.7921274522768412,0.3835131741422967,gbm
Greece,0.5331308624532995,0.7878430991042037,0.39079948287322774,rf
Greece,0.4665196690479033,0.8385079609331046,0.3588388946103238,brnn
Greece,0.5390067129911893,0.7897099875730449,0.38189184741139437,xgbTree
Greece,0.5442019100792456,0.7735383689367572,0.39637939891796625,svmPoly
Greece,0.8304930382076701,0.5220346038120482,0.6668007348995714,svmLinear3
Spain,0.437090664338211,0.817544811682317,0.33255663304340016,RAI
Spain,0.4447323320265075,0.8260025664764874,0.3361564385788555,svmRadialSigma
Spain,0.41450532808812535,0.8487278398068676,0.3265792379527026,gbm
Spain,0.47886447323912906,0.7946208257849189,0.3636361831806428,rf
Spain,0.4449537878441082,0.8295294711012261,0.3474271586726038,brnn
Spain,0.4758505295782617,0.7820776216342852,0.36178340762832484,xgbTree
Spain,0.43011838320434276,0.835322181519024,0.3221476679137061,svmPoly
Spain,0.5294044362860186,0.751726851249276,0.41362131626957555,svmLinear3
Finland,0.7414268967932014,0.4093407966756126,0.5703886947952708,RAI
Finland,0.7244702628218218,0.4843248933404058,0.5276995692926021,svmRadialSigma
Finland,0.7397639942863588,0.4289386470407264,0.55096930843098,gbm
Finland,0.73488604796204,0.45293608942407904,0.5537365368840673,rf
Finland,0.7114932068937385,0.5015531810713943,0.5329510050183149,brnn
Finland,0.7982112964294648,0.3453363196750823,0.5788469254684242,xgbTree
Finland,0.8088256767797064,0.3602951376663544,0.5759454199813724,svmPoly
Finland,0.7753855143658388,0.3886668188390945,0.6051819793503318,svmLinear3
France,0.5391517948909081,0.7167926983011689,0.41399405436948183,RAI
France,0.5666696645174462,0.7308225115193931,0.4100612409126465,svmRadialSigma
France,0.5496406053412694,0.736421561174421,0.4097107784813072,gbm
