country,TrainRMSE,TrainRsquared,TrainMAE,method
Austria,0.3669336337008093,0.8774587658936472,0.29167598253523963,RAI
Austria,0.534953159387023,0.7938571152341385,0.42103112117507185,svmRadialSigma
Austria,0.5072535759441766,0.764030131112729,0.38799417259446395,gbm
Austria,0.5954156170275313,0.7564410460528764,0.4746994996532525,rf
Austria,0.5871824661714237,0.7391971746143918,0.4493557835146098,brnn
Austria,0.5054586589487543,0.7759298571208622,0.38316943583181245,xgbTree
Austria,0.44841278189475064,0.8284480076974355,0.34456791631823597,svmPoly
Austria,0.6090181273670306,0.7061601627188171,0.46327835117695987,svmLinear3
Belgium,0.45374782556161675,0.7554340510458959,0.36590402450452136,RAI
Belgium,0.49579146086367865,0.7404327655488686,0.36721998318411303,svmRadialSigma
Belgium,0.4213124922951284,0.7947877653764599,0.326515149304247,gbm
Belgium,0.490648507464514,0.7608994097237837,0.37341075607302254,rf
Belgium,0.46903509329019155,0.7657494314417451,0.36594746412411194,brnn
Belgium,0.4554632301608963,0.7617192230049198,0.33633198809375975,xgbTree
Belgium,0.3855024208136976,0.8274603832968167,0.301200736327349,svmPoly
Belgium,0.5558917094926527,0.6829843496743184,0.4269670764365754,svmLinear3
Cyprus,0.3259029227529962,0.8952666062195378,0.2514152414889516,RAI
Cyprus,0.3899136293256615,0.8624657405244407,0.29129424710670776,svmRadialSigma
Cyprus,0.31264422731402003,0.9085918365400117,0.23992618334804014,gbm
Cyprus,0.3968697603560426,0.8793716803824388,0.3156887301071224,rf
Cyprus,0.3196253846523686,0.9105020513823927,0.24361721984367396,brnn
Cyprus,0.35451706909432734,0.8801184014454124,0.2624773458337281,xgbTree
Cyprus,0.26952468139752117,0.9339409019452747,0.21222080246405234,svmPoly
Cyprus,0.5778153784349928,0.7438893616836403,0.4329991271308745,svmLinear3
Czech Republic,0.8265415197716577,0.3514390125158887,0.5883429352414541,RAI
Czech Republic,0.7643785832314561,0.5128196207257788,0.5216879648247339,svmRadialSigma
Czech Republic,0.5978820047167233,0.6878502219976192,0.4550369482558834,gbm
Czech Republic,0.6700486393923216,0.636608098180996,0.5086547714928205,rf
Czech Republic,0.6138125584417798,0.6695816893927606,0.48121027108658904,brnn
Czech Republic,0.6290831982973699,0.629435560641114,0.47792998607959675,xgbTree
Czech Republic,0.7385016748271819,0.552565430405571,0.5429978662828981,svmPoly
Czech Republic,0.6233231746487984,0.6537980500829385,0.4953774178350211,svmLinear3
Germany,0.29424110593915764,0.9235793644186352,0.22854244400577603,RAI
Germany,0.41031608020477583,0.8683856209014905,0.30080130366999536,svmRadialSigma
Germany,0.3243186039657503,0.9093921004238749,0.24901231749782682,gbm
Germany,0.3781022675898792,0.895231843342972,0.28151819548283474,rf
Germany,0.3882074735637155,0.8816245822041802,0.2769180135048542,brnn
Germany,0.35626463790500756,0.9005927643473061,0.26002786816047635,xgbTree
Germany,0.2873597062084745,0.9321194685525621,0.21112602110130907,svmPoly
Germany,0.403393126578974,0.8745503958719791,0.31647506789726937,svmLinear3
Denmark,0.3507211305727088,0.862145253534936,0.2691561998069674,RAI
Denmark,0.4203838736032347,0.8118591241238704,0.2833815261722778,svmRadialSigma
Denmark,0.3943469078202505,0.8217516219129103,0.2849365309672961,gbm
Denmark,0.3876959649735732,0.8361358544300495,0.2749621856660475,rf
Denmark,0.4204782948279861,0.7974428052350208,0.29828483563922875,brnn
Denmark,0.4056222675024994,0.8281265145301152,0.2792931592949504,xgbTree
Denmark,0.34466701705473185,0.8891910744635831,0.23925584952018927,svmPoly
Denmark,0.426942269741535,0.8087318209750526,0.3162672200744402,svmLinear3
Greece,0.25300636016981987,0.9524788769424023,0.19208988987240122,RAI
Greece,0.2560296314202382,0.9577788224101946,0.19492474665741932,svmRadialSigma
Greece,0.26871458015538213,0.9496247786153934,0.19707628293074048,gbm
Greece,0.30142606876146805,0.9457948482338105,0.22072221143174678,rf
Greece,0.32471752077320837,0.9269940338369441,0.24261076986633295,brnn
Greece,0.27491015952582065,0.9452317291264524,0.18784584295795054,xgbTree
Greece,0.24981606637097906,0.9535322787211516,0.1902050838369246,svmPoly
Greece,0.6433728024760301,0.776962602157953,0.4965840492965335,svmLinear3
Spain,0.21446958373370367,0.9568243590606776,0.1636917162752207,RAI
Spain,0.30435871083170707,0.9265127587823886,0.21017633225278762,svmRadialSigma
Spain,0.29788227150709023,0.9219525180290231,0.215520515272582,gbm
Spain,0.365598727633642,0.8952542407881082,0.2620779593064255,rf
Spain,0.29452806930592185,0.9230935690943445,0.21835627793525564,brnn
Spain,0.314405659208133,0.913742202152181,0.2243411487339126,xgbTree
Spain,0.26209968925891014,0.9391005889438467,0.18239589272274945,svmPoly
Spain,0.39241175448405125,0.8651124063253492,0.29636793264008227,svmLinear3
Finland,0.5700951468784712,0.6458181803946582,0.4285487402046386,RAI
Finland,0.6804382264500151,0.6033511167515138,0.47228290147156315,svmRadialSigma
Finland,0.5861733846240176,0.6277955515398554,0.43750603965250295,gbm
Finland,0.6794686364479078,0.5842505196384483,0.5087111161900001,rf
Finland,0.6315063327104702,0.6462816998797782,0.467947037305339,brnn
Finland,0.6322776510426362,0.5743793646922721,0.46541535851849286,xgbTree
Finland,0.5529465515450599,0.6805922489112066,0.4188883964822944,svmPoly
Finland,0.611611655137293,0.6307232463410325,0.46535885358524204,svmLinear3
France,0.19665092907321283,0.9629760643175675,0.15593199010817277,RAI
France,0.3164943902356286,0.9344882887628185,0.22972536511252845,svmRadialSigma
France,0.2825824807503549,0.9299024191062019,0.2034507945189965,gbm
