time,country_code,cc_fooddrink,cc_restaurant,cc_groc,cc_fastfood
2018-08-01,IT,57,82,50,73
2018-09-01,IT,60,78,49,72
2018-10-01,IT,64,71,50,70
2018-11-01,IT,67,73,55,71
2018-12-01,IT,74,77,56,78
2019-01-01,IT,64,70,51,79
2019-02-01,IT,61,74,48,77
2019-03-01,IT,65,76,51,73
2019-04-01,IT,69,74,59,74
2019-05-01,IT,63,72,54,78
2019-06-01,IT,59,75,53,76
2019-07-01,IT,62,82,62,86
2019-08-01,IT,63,87,58,80
2019-09-01,IT,62,79,64,84
2019-10-01,IT,66,76,56,85
2019-11-01,IT,71,72,58,83
2019-12-01,IT,78,75,64,80
2020-01-01,IT,64,74,51,88
2020-02-01,IT,65,71,55,77
2020-03-01,IT,86,41,100,94
2020-04-01,IT,100,37,95,95
2020-05-01,IT,75,48,82,98
2020-06-01,IT,64,64,66,81
2020-07-01,IT,65,78,62,79
2020-08-01,IT,67,97,63,81
2020-09-01,IT,64,78,60,84
2020-10-01,IT,67,66,66,83
2020-11-01,IT,69,43,81,82
2020-12-01,IT,80,45,80,82
2021-01-01,IT,67,42,67,78
2021-02-01,IT,66,53,60,74
2021-03-01,IT,67,38,69,69
2021-04-01,IT,64,44,63,74
2021-05-01,IT,62,71,62,75
2021-06-01,IT,59,80,60,75
2021-07-01,IT,59,87,59,90
2021-08-01,IT,66,100,57,100
2021-09-01,IT,62,80,58,87
2021-10-01,IT,63,77,53,72
2021-11-01,IT,63,72,58,78
2021-12-01,IT,63,61,58,76
2022-01-01,IT,67,69,62,89
2022-02-01,IT,68,76,57,81
2022-03-01,IT,67,71,64,76
2022-04-01,IT,73,81,70,82
2022-05-01,IT,63,78,63,80
2022-06-01,IT,65,83,67,95
2022-07-01,IT,68,90,65,95
2022-08-01,IT,68,95,74,97
2022-09-01,IT,66,80,59,87
