country,method,TrainRMSE,TrainRsquared,transform,max_R2
Austria,RAI,0.3669336337008093,0.8774587658936472,norm_lag,0.8774587658936472
Belgium,svmPoly,0.3855024208136976,0.8274603832968167,norm_lag,0.8274603832968167
Croatia,RAI,0.21178387027221376,0.958050148498076,100_lag,0.958050148498076
Cyprus,svmPoly,0.26952468139752117,0.9339409019452748,norm_lag,0.9339409019452748
Czech Republic,gbm,0.5978820047167233,0.6878502219976192,norm_lag,0.6878502219976192
Denmark,svmPoly,0.34466701705473185,0.8891910744635831,norm_lag,0.8891910744635831
Finland,svmPoly,0.5529465515450599,0.6805922489112066,norm_lag,0.6805922489112066
France,RAI,0.19665092907321283,0.9629760643175675,norm_lag,0.9629760643175675
Germany,svmPoly,0.29012866804955745,0.9324466257569526,100_lag,0.9324466257569526
Greece,svmRadialSigma,0.2560296314202382,0.9577788224101946,norm_lag,0.9577788224101946
Hungary,RAI,0.3275790829960812,0.8972336080922834,100_lag,0.8972336080922834
Italy,RAI,0.2659364287601147,0.9384319638778164,norm_lag,0.9384319638778164
Latvia,RAI,0.5175876201288038,0.7279308641536469,norm_lag,0.7279308641536469
Lithuania,svmRadialSigma,0.3808455308719442,0.8888085096674098,norm_lag,0.8888085096674098
Luxembourg,RAI,0.28080262469941963,0.8744625142064354,norm_lag,0.8744625142064354
Malta,svmPoly,0.25068191976573845,0.9380807379376304,100_lag,0.9380807379376304
Netherlands,RAI,0.28863453448891513,0.9180617081988156,100_lag,0.9180617081988156
Poland,RAI,0.3067183841114918,0.9057257312202656,100_lag,0.9057257312202656
Poland,RAI,0.30671838411149177,0.9057257312202656,norm_lag,0.9057257312202656
Portugal,svmPoly,0.20716002584469564,0.966914525864255,100_lag,0.966914525864255
Romania,brnn,0.3820712243202063,0.8618212861668848,norm_lag,0.8618212861668848
Slovakia,RAI,0.434717815157485,0.8148518113986,norm_lag,0.8148518113986
Slovenia,svmPoly,0.28610810567117434,0.9222610060453084,norm_lag,0.9222610060453084
Spain,RAI,0.21446958373370367,0.9568243590606776,norm_lag,0.9568243590606776
Sweden,svmPoly,0.3868358288143675,0.8813002185160215,100_lag,0.8813002185160215
