date,country_code,country_cc_trav,country_trav,country_hotels,country_car_rent,country_appart,country_hike,country_trav_gui,cc_fooddrink,cc_restaurant,cc_groc,cc_fastfood
2011-01-01,AT,55,34,32,6,13,11,27,52,51,43,54
2011-02-01,AT,53,29,33,6,13,12,28,52,47,43,51
2011-03-01,AT,58,28,30,9,16,11,21,54,53,42,50
2011-04-01,AT,56,24,32,6,13,13,28,49,50,42,48
2011-05-01,AT,57,23,31,11,16,15,29,55,54,42,60
2011-06-01,AT,57,27,36,18,20,26,33,53,55,44,57
2011-07-01,AT,68,31,41,11,19,31,31,50,52,43,50
2011-08-01,AT,72,28,36,10,28,20,41,48,52,41,47
2011-09-01,AT,69,26,29,8,17,11,27,51,51,43,50
2011-10-01,AT,67,27,33,7,21,12,30,59,58,43,55
2011-11-01,AT,61,31,30,7,25,8,26,60,62,43,60
2011-12-01,AT,58,31,32,6,24,17,24,63,61,53,56
2012-01-01,AT,65,37,34,9,18,13,29,57,58,42,60
2012-02-01,AT,62,33,31,8,22,12,24,57,58,43,57
2012-03-01,AT,60,25,27,6,19,10,29,54,55,37,52
2012-04-01,AT,58,25,32,13,18,16,30,53,56,44,56
2012-05-01,AT,61,25,32,6,18,18,31,53,59,41,61
2012-06-01,AT,55,24,31,12,16,23,32,54,57,44,61
2012-07-01,AT,64,28,38,9,26,29,32,55,58,46,59
2012-08-01,AT,68,30,33,11,21,27,31,57,60,42,59
2012-09-01,AT,58,26,32,8,15,13,25,58,61,42,67
2012-10-01,AT,53,26,26,3,18,11,23,58,63,44,58
2012-11-01,AT,57,26,29,8,25,8,22,60,60,43,63
2012-12-01,AT,57,29,26,8,7,9,21,65,57,54,61
2013-01-01,AT,60,31,29,9,21,10,24,58,61,43,61
2013-02-01,AT,58,29,30,8,22,11,28,60,58,41,64
2013-03-01,AT,54,26,27,10,18,12,25,60,59,43,56
2013-04-01,AT,54,22,25,9,10,15,23,60,56,41,51
2013-05-01,AT,54,22,25,8,9,13,25,58,60,43,61
2013-06-01,AT,55,26,29,9,21,19,23,56,60,44,62
2013-07-01,AT,62,26,34,10,17,32,29,59,59,42,54
2013-08-01,AT,86,30,35,9,20,27,40,59,60,44,61
2013-09-01,AT,67,26,25,7,20,12,36,58,55,41,57
2013-10-01,AT,59,26,26,5,21,9,31,64,60,46,56
2013-11-01,AT,58,26,25,7,17,8,37,63,57,43,60
2013-12-01,AT,58,27,26,8,17,9,20,67,55,58,56
2014-01-01,AT,57,31,30,8,22,13,27,62,57,45,61
2014-02-01,AT,59,30,26,11,19,10,26,63,58,44,60
2014-03-01,AT,57,26,26,7,16,11,25,63,58,49,60
2014-04-01,AT,52,23,25,9,15,16,29,61,55,47,54
2014-05-01,AT,53,27,26,10,14,13,29,63,62,46,57
2014-06-01,AT,55,27,29,9,20,23,29,59,55,48,64
2014-07-01,AT,66,27,32,13,19,28,31,61,57,49,59
2014-08-01,AT,76,28,33,11,21,26,29,64,61,45,59
2014-09-01,AT,57,25,26,5,16,10,27,61,57,47,56
2014-10-01,AT,54,26,24,7,14,7,24,64,58,48,56
2014-11-01,AT,57,27,25,7,14,10,22,66,59,49,57
2014-12-01,AT,55,27,27,6,14,11,20,71,58,65,61
2015-01-01,AT,56,29,26,8,17,14,25,64,58,49,63
2015-02-01,AT,54,25,24,7,15,9,22,64,58,48,59
2015-03-01,AT,60,26,27,9,18,16,24,66,60,52,61
2015-04-01,AT,58,24,25,9,18,13,26,66,58,52,56
2015-05-01,AT,59,25,29,9,14,16,29,66,60,54,63
2015-06-01,AT,60,30,32,10,19,25,30,62,59,57,57
2015-07-01,AT,65,28,33,12,20,26,29,60,60,60,59
2015-08-01,AT,78,30,34,9,18,26,34,63,61,56,61
2015-09-01,AT,61,27,27,6,15,10,30,64,59,53,57
