geo,p,d,q
AT,0,1,0
BE,1,1,0
BG,0,1,0
CY,0,1,0
CZ,0,1,0
DE,0,0,2
DK,0,1,1
EE,0,1,0
EL,0,1,0
ES,0,1,0
FI,0,1,1
FR,0,0,2
HR,0,1,0
HU,0,1,0
IT,0,1,0
LT,0,1,1
LV,0,1,0
MT,1,0,0
PL,0,1,0
PT,2,0,0
RO,1,0,1
SE,0,1,0
SI,0,1,0
SK,0,0,2
