geo,ma1,sigma,ar1,ma2,drift,ar2
AT,-0.5880424625964231,0.00592062132340171,NA,NA,NA,NA
CY,NA,0.02507272046866131,-0.7122616933622424,NA,NA,NA
CZ,NA,0.01272078207002017,-0.6062369782842356,NA,NA,NA
DE,0.22904410994273466,0.01081042467484407,-0.5230293260321339,-0.7391521703108381,NA,NA
DK,-0.7869695959246927,0.013889676620640962,NA,NA,NA,NA
EE,NA,0.022769716708742324,NA,NA,0.08030451371519778,NA
EL,0.5831159343108813,0.03456359653837461,NA,NA,NA,NA
ES,-0.6929917352501511,0.00972430341318056,NA,NA,NA,NA
FI,-0.7990452088024815,0.016762039075347575,NA,NA,NA,NA
FR,NA,0.014454584489012644,0.1833695110347924,NA,NA,0.5278898839899522
HR,-0.7250025221442624,0.011455029659487645,NA,NA,NA,NA
HU,-0.1940595981396051,0.011805090130372828,NA,-0.4967624091319171,NA,NA
IE,-0.5822264917846567,0.19404024166995326,NA,NA,0.08937721416549371,NA
IT,-0.8085559491954113,0.023124346430706703,NA,NA,NA,NA
LT,-0.641502269467412,0.009445840754795197,NA,NA,NA,NA
LU,NA,0.018891135204931304,-1.1655337807199844,NA,NA,-0.7636945729431914
LV,-0.7244488668401521,0.02477535462914546,NA,NA,NA,NA
MT,NA,0.0209252096445447,0.2888188734284459,NA,0.08546238849672654,NA
NL,-0.7471619856216575,0.011934483377702747,NA,NA,NA,NA
PL,-0.632020557619148,0.011232332758721228,NA,NA,NA,NA
PT,NA,0.02824719809235094,NA,NA,0.07079065051933521,NA
RO,-0.7835069153471488,0.018750190271469413,NA,NA,NA,NA
SI,-0.6167571331097508,0.010024474024505495,NA,NA,NA,NA
SK,-0.8009470287109133,0.048411303912922594,NA,NA,NA,NA
