date,country_code,yhat,h,bic,aicc,rmse,mae,acf
2023-02-01,AT,12349524.9,2,-2130.5464057031763,-2189.0044609772567,0.20926140492467055,0.11640604382195407,0.01272870712860146
2023-02-01,BE,1796729.2,2,-2038.0345976753783,-2096.451393383724,0.21444628355982173,0.11275231156408858,0.00425670758391964
2023-02-01,CY,208960,3,-913.8588484368296,-935.2230103335849,0.4566300682836835,0.220535855951126,-0.06191264769712676
2023-02-01,CZ,3151088.5,2,-1219.358208502612,-1266.9980638290378,0.24165921617658537,0.10582171661191568,0.05728088994459085
2023-02-01,DE,22836851.7,2,-2560.3323497514575,-2630.1331445835076,0.1339079991943285,0.06758141135443474,-0.00684341634406108
2023-02-01,DK,1239297.8,2,-1116.167393271897,-1156.4698892880335,0.15614470975655856,0.10661034336006346,0.06026279962292621
2023-02-01,GR,1374431.1,2,-1658.242347203154,-1718.183058833819,0.2593756082938718,0.114789709289809,-0.00287718780730285
2023-02-01,ES,25465530.3,2,-2359.3407914633676,-2417.716213832995,0.16392909031241212,0.08230401425368983,-0.41615212750097064
2023-02-01,FI,1767815.7,2,-2556.615272668747,-2603.5451479208587,0.11752078944385302,0.0628697816268126,0.00481484184177913
2023-02-01,FR,22161159.3,2,-773.171821975653,-812.7797736125224,0.25027761392060893,0.12595650274127032,0.00379485112082564
2023-02-01,HR,597105,2,-1088.5039414704072,-1138.4984283816668,0.26739207796193215,0.14363321190012016,-0.01134108300428316
2023-02-01,HU,1386567.5,2,-1382.9814064249,-1431.2980144882918,0.19658517827072824,0.1011263205439925,0.02877253632314279
2023-02-01,IT,18456998.5,2,-2559.870498009149,-2618.2872937174943,0.13709111336479415,0.0812048913966993,-0.05123246475205648
2023-02-01,LT,426187,2,-1316.7669173387733,-1362.735085508041,0.13719651366897961,0.08004073867427858,0.01919146435435217
2023-02-01,LU,115045.6,2,-1983.6914866505988,-2042.1495419246792,0.19459652055432933,0.11241929734377994,0.00641470771797063
2023-02-01,LV,230213.3,2,-1421.8031194021578,-1468.5986091291988,0.12580787837898308,0.07688826172904493,-0.02268545738178877
2023-02-01,MT,407308.4,2,-647.8044405917674,-665.4974237257153,0.3078091136328777,0.15867882477130155,0.01835184559501844
2023-02-01,NL,5606451.3,2,-2508.4844027709587,-2570.7074215702232,0.1371810004955589,0.08500039246975007,-0.04889759100169695
2023-02-01,PL,5576906,2,-1332.2938800761904,-1379.0893698032314,0.1793127885105429,0.0875781554806074,0.03351856447659858
2023-02-01,PT,3401450.2,2,-2251.08316612158,-2309.4999618299253,0.1705185033130426,0.07760689708855566,0.02172283759902684
2023-02-01,RO,1272976.1,2,-1347.778952169371,-1401.9349239525325,0.17704333393268018,0.10232084103258832,0.0117383079854586
2023-02-01,SE,3351667.6,3,-2663.6732621637093,-2737.1918438788725,0.10548869635293304,0.07380602363240939,0.02430759370271813
2023-02-01,SI,908486.5,2,-1247.6466161591,-1306.7504018622333,0.244891490404064,0.12611156195119114,0.03866888554498462
2023-02-01,SK,913754.5,2,-1162.68907255992,-1209.5513508200413,0.2212013704236066,0.10243396982913808,0.06479553088440008
