country_code,date,mean,sd,preds,resid_total_hat
AT,2023-01-01,8321595.21969697,3585089.905249585,0.5041988377168358,10129193.383034172
AT,2023-02-01,8321595.21969697,3585089.905249585,1.0387694648492212,12045677.142009426
BE,2023-01-01,2595198.113636364,1286244.9982852754,0.17720698201748367,2823129.7079175813
BE,2023-02-01,2595198.113636364,1286244.9982852754,0.28740465213321253,2964870.909926628
HR,2023-01-01,4775621.870833334,6737805.928024743,-0.29895183716117624,2761342.410214873
HR,2023-02-01,4775621.870833334,6737805.928024743,-0.490144617810202,1473122.5593623323
CY,2022-12-01,1206806.2763636364,785516.3851196496,-1.293009169682877,191126.3874677833
CY,2023-01-01,1206806.2763636364,785516.3851196496,-1.2110049409737307,255542.05276791682
CY,2023-02-01,1206806.2763636364,785516.3851196496,-1.007994388815987,415010.16784001165
CZ,2023-01-01,3559261.063492063,1563861.3858685535,0.01947084225178776,3589710.761839972
CZ,2023-02-01,3559261.063492063,1563861.3858685535,-0.10316780310494272,3397920.919951353
DK,2023-01-01,2483299.7135416665,1678314.7176539132,-0.422761718829324,1773772.4987697466
DK,2023-02-01,2483299.7135416665,1678314.7176539132,-0.386839003230784,1834062.121056872
FI,2023-01-01,1433918.7954545454,574707.2230084129,0.21261661712193886,1556111.101046138
FI,2023-02-01,1433918.7954545454,574707.2230084129,0.4177138054666399,1673981.9366065543
FR,2023-01-01,33162872.942307692,22252665.01810094,-0.6015257835388184,19777321.18146767
FR,2023-02-01,33162872.942307692,22252665.01810094,-0.48984405398368835,22262537.29790012
DE,2023-01-01,27067845.335858587,10399316.066533228,-0.231967099067034,24655546.155623674
DE,2023-02-01,27067845.335858587,10399316.066533228,0.09650393186599832,28071420.22499629
GR,2023-01-01,6457771.738505747,6700753.296536769,-0.6500780749763864,2101758.9346014494
GR,2023-02-01,6457771.738505747,6700753.296536769,-0.5906650358885346,2499871.05212664
HU,2023-01-01,1882158.878787879,1037383.9135304452,-0.45113456443573624,1414159.138804682
HU,2023-02-01,1882158.878787879,1037383.9135304452,-0.4144653771586494,1452199.1638081672
IT,2023-01-01,28209217.59090909,20488488.466106772,-0.7229857373479845,13396332.650095208
IT,2023-02-01,28209217.59090909,20488488.466106772,-0.5098661080483062,17762831.716902617
LV,2023-01-01,292076.89166666666,144425.77798943763,-0.08266279101371765,280138.2537637322
LV,2023-02-01,292076.89166666666,144425.77798943763,0.12481150776147842,310102.8907771529
LT,2023-01-01,426397.9166666667,263295.91971349873,0.2715931717764819,497907.2906174617
LT,2023-02-01,426397.9166666667,263295.91971349873,0.3589635878254401,520911.5646668232
LU,2023-01-01,216480.38636363635,142139.8939167788,-0.70603319807143206,116124.90248803893
LU,2023-02-01,216480.38636363635,142139.8939167788,-0.48466556825798307,147590.07390633132
MT,2023-01-01,664065.9743589744,284543.8197222274,-0.8045467016450091,435137.18272798427
MT,2023-02-01,664065.9743589744,284543.8197222274,-0.6004777620023437,493203.7383005729
NL,2023-01-01,7030850.386363637,3988770.8688873183,0.2522101793967373,8036859.002778187
NL,2023-02-01,7030850.386363637,3988770.8688873183,0.53884559076476,9180181.981634488
PL,2023-01-01,5348994.108333333,2718936.605472988,0.029662857981755386,5429645.538722875
PL,2023-02-01,5348994.108333333,2718936.605472988,0.32079663958832993,6221219.834622769
PT,2023-01-01,3867345.755050505,2196362.215739215,-0.03355398046770153,3793649.060163594
PT,2023-02-01,3867345.755050505,2196362.215739215,0.2702164374137652,4460838.92825776
RO,2023-01-01,1726760.996031746,956795.2617851791,0.0326230465942039,1757974.5724380775
RO,2023-02-01,1726760.996031746,956795.2617851791,0.6365908215004881,2335848.0777393477
SK,2023-01-01,976999.5791666668,407069.8643697958,0.11024371633510044,1021876.4738228184
SK,2023-02-01,976999.5791666668,407069.8643697958,0.4683412565936522,1167647.1909670245
SI,2023-01-01,844654.9094202898,542561.1724711359,-0.02912755001889114,828851.4317308286
SI,2023-02-01,844654.9094202898,542561.1724711359,-0.09289180033101618,794255.425319739
ES,2023-01-01,26264329.494949497,15515007.04280958,-0.3214933359496484,21276358.123474356
ES,2023-02-01,26264329.494949497,15515007.04280958,-0.10025783363383772,24708828.500023674
SE,2022-12-01,3387336.9417721517,2405697.7033934663,-0.33416206045392965,2583444.0403769044
SE,2023-01-01,3387336.9417721517,2405697.7033934663,-0.07458686061747233,3207903.5024813698
SE,2023-02-01,3387336.9417721517,2405697.7033934663,-0.09570654681470264,3157095.921900302
