geo,ar1,ma1,ma2,sigma,sma1,ma3,ma4,ma5,ma6,drift,ar2,ar3,sar1,sar2,sma2,ar4
AT,-0.4291258357241793,-0.11921415438842628,-0.508837590436576,0.00289073292811659,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BE,-0.845779360495306,0.16239527189038627,-0.7672214519712464,0.004418841148875739,0.2045378477868213,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BG,NA,0.7077974579657579,-0.3988757170203069,0.0060043074312722535,NA,-0.768883390531918,-0.05930333980918784,0.6850099210324944,0.5386408715376285,0.02243843853746975,NA,NA,NA,NA,NA,NA
CY,-0.6699279600268658,0.810227774142678,0.3919594126334383,0.004704973300849321,0.23604108874735608,NA,NA,NA,NA,NA,0.2903255240321776,0.44248936761875446,NA,NA,NA,NA
CZ,-0.10971437011420011,0.5786613730690876,0.26980092512703324,0.0011951076658169803,-1.0664713777008172,NA,NA,NA,NA,NA,0.15587990148278286,0.30222279486976095,1.185531329571969,-0.3878521489506913,0.5865006228616665,NA
DE,-0.3155980381812219,0.013189808782428983,-0.3007327053996249,0.0014613786933631433,-0.19886360442082626,NA,NA,NA,NA,NA,-0.44282094764743074,-0.612247814279384,NA,NA,NA,-0.48882228314295917
DK,-0.5512839923465784,-0.11388372078847035,-0.6564955210852602,0.006424984106695061,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
EE,-1.0411737052862695,0.07703253407687102,-0.6935363868910004,0.006352579190300157,NA,NA,NA,NA,NA,NA,-0.2954427000077085,NA,NA,NA,NA,NA
EL,-0.48868369343892143,0.5818653299553195,0.5398129487036056,0.011910330801285207,NA,0.6931437630168142,NA,NA,NA,0.016817988390384495,-0.252070114277853,-0.6290014288691911,NA,NA,NA,NA
ES,1.3582079983565283,-0.9139361265322542,1.060145497036021,5.859172130583713e-4,0.10535952109701134,-0.1526478282083698,-0.1603661358593508,0.26739372239806725,NA,0.0075027025700484746,-1.3712999456427042,0.7027843498630418,NA,NA,0.08459004688530755,NA
FI,-0.7657810036098818,0.04664931017130185,-0.7195801003071873,0.003212715043504911,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
FR,NA,-0.6559496997820641,0.026736851964150918,0.0026080505115733802,0.19492658156834614,-0.21549183047748782,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
HR,NA,-0.7243161203431736,-0.1059272436068032,0.0034184918422151584,0.12466635358855586,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.10214958555071812,NA
HU,NA,-0.6442456207590055,-0.11104443190959112,0.002529580712240101,0.14193991382956359,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
IE,-0.6536946588284092,0.6407120001829062,0.6227508650544773,0.08638679916928095,0.0826771201343973,NA,NA,NA,NA,0.022740197723354238,-1.2014716477381024,-0.6395393390983659,NA,NA,0.19588341941408088,-0.7642592060626653
IT,NA,-1.0102861820870734,0.19387043626508155,0.00825878895235309,-0.3430667243489972,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.28656248055744216,NA
LT,NA,-0.5809115560113037,-0.10516829564884637,0.003550081442599485,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
LU,NA,0.03765376617081997,0.1971606002310275,0.008054666075058127,NA,0.2601146310926296,NA,NA,NA,0.01702058027449582,NA,NA,NA,NA,NA,NA
LV,NA,-0.6341359627293209,-0.22011050027956794,0.00423311016325332,0.20069758883228633,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MT,NA,NA,NA,0.006185638448512601,NA,NA,NA,NA,NA,0.011324747164396758,NA,NA,NA,NA,NA,NA
NL,NA,-0.49169647629888635,-0.42742821030807676,0.005573188392247784,-0.14510579711650035,0.15947800743475307,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PL,0.3252288303677739,-0.9461829337249493,NA,0.001725271286463813,0.21023139571097915,NA,NA,NA,NA,NA,0.21208311961165968,NA,NA,NA,NA,NA
PT,0.8547921067464528,-0.6794351115869243,NA,0.0076376020280883175,0.1739567709894065,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
RO,-0.8474767129482212,NA,NA,0.002224449421352483,0.1218680025571938,NA,NA,NA,NA,NA,-0.466501118443268,-0.5936731374138129,NA,NA,0.2784156298436748,-0.37338071021432123
SI,NA,-0.6053199746434399,NA,0.0014149636014999924,0.2408548833776861,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SK,-0.45947693525547056,0.5942946178177899,-0.0038032465250066295,0.01629030145863315,0.23376616969189265,-0.30021182349585207,0.05270759981812107,0.5688895780111037,0.5473970034671135,0.02469194646367632,NA,NA,NA,NA,0.1544170823399808,NA
