DATAFLOW,LAST UPDATE,freq,indic_bt,nace_r2,s_adj,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:STS_INPR_M(1.0),28/10/22 11:00:00,M,PROD,B-D,SCA,I15,AT,1996-01,51.6,
ESTAT:STS_INPR_M(1.0),28/10/22 11:00:00,M,PROD,B-D,SCA,I15,AT,1996-02,51.9,
ESTAT:STS_INPR_M(1.0),28/10/22 11:00:00,M,PROD,B-D,SCA,I15,AT,1996-03,52.1,
ESTAT:STS_INPR_M(1.0),28/10/22 11:00:00,M,PROD,B-D,SCA,I15,AT,1996-04,51.6,
ESTAT:STS_INPR_M(1.0),28/10/22 11:00:00,M,PROD,B-D,SCA,I15,AT,1996-05,52.1,
ESTAT:STS_INPR_M(1.0),28/10/22 11:00:00,M,PROD,B-D,SCA,I15,AT,1996-06,52.4,
ESTAT:STS_INPR_M(1.0),28/10/22 11:00:00,M,PROD,B-D,SCA,I15,AT,1996-07,52.8,
ESTAT:STS_INPR_M(1.0),28/10/22 11:00:00,M,PROD,B-D,SCA,I15,AT,1996-08,52.5,
ESTAT:STS_INPR_M(1.0),28/10/22 11:00:00,M,PROD,B-D,SCA,I15,AT,1996-09,53.6,
ESTAT:STS_INPR_M(1.0),28/10/22 11:00:00,M,PROD,B-D,SCA,I15,AT,1996-10,52.5,
ESTAT:STS_INPR_M(1.0),28/10/22 11:00:00,M,PROD,B-D,SCA,I15,AT,1996-11,53.3,
ESTAT:STS_INPR_M(1.0),28/10/22 11:00:00,M,PROD,B-D,SCA,I15,AT,1996-12,54.2,
ESTAT:STS_INPR_M(1.0),28/10/22 11:00:00,M,PROD,B-D,SCA,I15,AT,1997-01,55.1,
ESTAT:STS_INPR_M(1.0),28/10/22 11:00:00,M,PROD,B-D,SCA,I15,AT,1997-02,54.8,
ESTAT:STS_INPR_M(1.0),28/10/22 11:00:00,M,PROD,B-D,SCA,I15,AT,1997-03,54.6,
ESTAT:STS_INPR_M(1.0),28/10/22 11:00:00,M,PROD,B-D,SCA,I15,AT,1997-04,56.1,
ESTAT:STS_INPR_M(1.0),28/10/22 11:00:00,M,PROD,B-D,SCA,I15,AT,1997-05,53.8,
ESTAT:STS_INPR_M(1.0),28/10/22 11:00:00,M,PROD,B-D,SCA,I15,AT,1997-06,55.4,
ESTAT:STS_INPR_M(1.0),28/10/22 11:00:00,M,PROD,B-D,SCA,I15,AT,1997-07,55.7,
ESTAT:STS_INPR_M(1.0),28/10/22 11:00:00,M,PROD,B-D,SCA,I15,AT,1997-08,57.6,
ESTAT:STS_INPR_M(1.0),28/10/22 11:00:00,M,PROD,B-D,SCA,I15,AT,1997-09,56.6,
ESTAT:STS_INPR_M(1.0),28/10/22 11:00:00,M,PROD,B-D,SCA,I15,AT,1997-10,56.8,
ESTAT:STS_INPR_M(1.0),28/10/22 11:00:00,M,PROD,B-D,SCA,I15,AT,1997-11,57.6,
ESTAT:STS_INPR_M(1.0),28/10/22 11:00:00,M,PROD,B-D,SCA,I15,AT,1997-12,59.5,
ESTAT:STS_INPR_M(1.0),28/10/22 11:00:00,M,PROD,B-D,SCA,I15,AT,1998-01,59.3,
ESTAT:STS_INPR_M(1.0),28/10/22 11:00:00,M,PROD,B-D,SCA,I15,AT,1998-02,59.5,
ESTAT:STS_INPR_M(1.0),28/10/22 11:00:00,M,PROD,B-D,SCA,I15,AT,1998-03,60.2,
ESTAT:STS_INPR_M(1.0),28/10/22 11:00:00,M,PROD,B-D,SCA,I15,AT,1998-04,60.2,
ESTAT:STS_INPR_M(1.0),28/10/22 11:00:00,M,PROD,B-D,SCA,I15,AT,1998-05,60.4,
ESTAT:STS_INPR_M(1.0),28/10/22 11:00:00,M,PROD,B-D,SCA,I15,AT,1998-06,60.9,
ESTAT:STS_INPR_M(1.0),28/10/22 11:00:00,M,PROD,B-D,SCA,I15,AT,1998-07,61.3,
ESTAT:STS_INPR_M(1.0),28/10/22 11:00:00,M,PROD,B-D,SCA,I15,AT,1998-08,60.2,
ESTAT:STS_INPR_M(1.0),28/10/22 11:00:00,M,PROD,B-D,SCA,I15,AT,1998-09,62.8,
ESTAT:STS_INPR_M(1.0),28/10/22 11:00:00,M,PROD,B-D,SCA,I15,AT,1998-10,62.1,
ESTAT:STS_INPR_M(1.0),28/10/22 11:00:00,M,PROD,B-D,SCA,I15,AT,1998-11,61.7,
ESTAT:STS_INPR_M(1.0),28/10/22 11:00:00,M,PROD,B-D,SCA,I15,AT,1998-12,60.3,
ESTAT:STS_INPR_M(1.0),28/10/22 11:00:00,M,PROD,B-D,SCA,I15,AT,1999-01,61.2,
