date,geo,yhat,bic,rmse,mae,acf
2022-09-01,AT,146.4909397007973,-786.3993147140557,0.05158919592205425,0.03679720505204674,-0.006952064334573751
2022-10-01,AT,149.22536137766053,-786.3993147140557,0.05158919592205425,0.03679720505204674,-0.006952064334573751
2022-11-01,AT,151.54969573537957,-786.3993147140557,0.05158919592205425,0.03679720505204674,-0.006952064334573751
2022-12-01,AT,154.3682301442368,-786.3993147140557,0.05158919592205425,0.03679720505204674,-0.006952064334573751
2022-09-01,BE,204.8795805231336,-622.1705544541485,0.07362583493128612,0.04312657969902027,-0.027793655670743333
2022-10-01,BE,211.7893902473235,-622.1705544541485,0.07362583493128612,0.04312657969902027,-0.027793655670743333
2022-11-01,BE,216.70100111299618,-622.1705544541485,0.07362583493128612,0.04312657969902027,-0.027793655670743333
2022-12-01,BE,220.6149194312942,-622.1705544541485,0.07362583493128612,0.04312657969902027,-0.027793655670743333
2022-09-01,CY,151.21703876634325,-705.2142164026156,0.06129634848595265,0.03675258238013571,0.03632125612461472
2022-10-01,CY,151.98593202096367,-705.2142164026156,0.06129634848595265,0.03675258238013571,0.03632125612461472
2022-11-01,CY,155.30814143131195,-705.2142164026156,0.06129634848595265,0.03675258238013571,0.03632125612461472
2022-12-01,CY,156.11429857864763,-705.2142164026156,0.06129634848595265,0.03675258238013571,0.03632125612461472
2022-09-01,CZ,140.93799361441395,-1452.0861505196535,0.03484663923094782,0.020286295500652567,-0.0012653900295263086
2022-10-01,CZ,141.29349324442524,-1452.0861505196535,0.03484663923094782,0.020286295500652567,-0.0012653900295263086
2022-11-01,CZ,141.42009436298352,-1452.0861505196535,0.03484663923094782,0.020286295500652567,-0.0012653900295263086
2022-12-01,CZ,141.54071086767453,-1452.0861505196535,0.03484663923094782,0.020286295500652567,-0.0012653900295263086
2022-09-01,DE,174.06850428357086,-2204.596912666827,0.031964981735486474,0.016503549265234924,-0.016744273863485298
2022-10-01,DE,178.6221364835369,-2204.596912666827,0.031964981735486474,0.016503549265234924,-0.016744273863485298
2022-11-01,DE,186.50927533693,-2204.596912666827,0.031964981735486474,0.016503549265234924,-0.016744273863485298
2022-12-01,DE,195.83611466639923,-2204.596912666827,0.031964981735486474,0.016503549265234924,-0.016744273863485298
2022-09-01,DK,213.8741885935538,-598.1050112284906,0.0778630372279265,0.05034852472160833,0.025711181709870513
2022-10-01,DK,220.34837718710764,-598.1050112284906,0.0778630372279265,0.05034852472160833,0.025711181709870513
2022-11-01,DK,226.82256578066148,-598.1050112284906,0.0778630372279265,0.05034852472160833,0.025711181709870513
2022-12-01,DK,233.29675437421525,-598.1050112284906,0.0778630372279265,0.05034852472160833,0.025711181709870513
2022-09-01,EL,150.44828946018131,-483.57218320659894,0.09279483013248761,0.05687867802957098,0.004513575955909299
2022-10-01,EL,151.15023819320587,-483.57218320659894,0.09279483013248761,0.05687867802957098,0.004513575955909299
2022-11-01,EL,151.2038908121612,-483.57218320659894,0.09279483013248761,0.05687867802957098,0.004513575955909299
2022-12-01,EL,150.01076696308155,-483.57218320659894,0.09279483013248761,0.05687867802957098,0.004513575955909299
2022-09-01,ES,170.080457144538,-2579.366549056299,0.024421571694678887,0.012991531007270261,-0.0037800944977261805
2022-10-01,ES,174.17645901186478,-2579.366549056299,0.024421571694678887,0.012991531007270261,-0.0037800944977261805
2022-11-01,ES,177.5186387258396,-2579.366549056299,0.024421571694678887,0.012991531007270261,-0.0037800944977261805
2022-12-01,ES,181.1294055814986,-2579.366549056299,0.024421571694678887,0.012991531007270261,-0.0037800944977261805
2022-09-01,FI,151.87677890566903,-935.6574636368166,0.056322019320236935,0.03578862379336224,-0.0029166924221713385
2022-10-01,FI,154.84163585860784,-935.6574636368166,0.056322019320236935,0.03578862379336224,-0.0029166924221713385
2022-11-01,FI,157.38509440235032,-935.6574636368166,0.056322019320236935,0.03578862379336224,-0.0029166924221713385
2022-12-01,FI,160.29238127286666,-935.6574636368166,0.056322019320236935,0.03578862379336224,-0.0029166924221713385
2022-09-01,FR,145.5685851486536,-961.9419955447786,0.054051767657178035,0.03393817348987002,0.025180146143433595
2022-10-01,FR,148.82302995139042,-961.9419955447786,0.054051767657178035,0.03393817348987002,0.025180146143433595
2022-11-01,FR,152.3950189884417,-961.9419955447786,0.054051767657178035,0.03393817348987002,0.025180146143433595
2022-12-01,FR,155.16204467688289,-961.9419955447786,0.054051767657178035,0.03393817348987002,0.025180146143433595
2022-09-01,HR,143.31677041479827,-751.3678604737115,0.05739277381931751,0.039061579618257285,-0.009173083340618551
2022-10-01,HR,146.27885495511782,-751.3678604737115,0.05739277381931751,0.039061579618257285,-0.009173083340618551
2022-11-01,HR,148.39124557203337,-751.3678604737115,0.05739277381931751,0.039061579618257285,-0.009173083340618551
2022-12-01,HR,150.54452820234616,-751.3678604737115,0.05739277381931751,0.039061579618257285,-0.009173083340618551
2022-09-01,HU,237.5499237480913,-853.9261623591472,0.04753947435439619,0.02706166914223838,-0.007006618500048308
2022-10-01,HU,249.79071804781012,-853.9261623591472,0.04753947435439619,0.02706166914223838,-0.007006618500048308
2022-11-01,HU,263.3003193093749,-853.9261623591472,0.04753947435439619,0.02706166914223838,-0.007006618500048308
2022-12-01,HU,277.9260052731242,-853.9261623591472,0.04753947435439619,0.02706166914223838,-0.007006618500048308
2022-09-01,IT,174.33048574189456,-488.47599990649485,0.09206883061417112,0.04346007879988424,-0.010273490388369328
2022-10-01,IT,181.75394182681487,-488.47599990649485,0.09206883061417112,0.04346007879988424,-0.010273490388369328
