country_code,rmse_min,rmse_mean,transform
AT,2191594.7754958807,2191594.7754958807,std
BE,412358.41126572335,412358.41126572335,sqrt
CY,271345.3113290631,271345.3113290631,std
CZ,487642.24152088456,487642.24152088456,std
DE,3624697.214416386,3624697.214416386,std
DK,521671.54832726065,521671.54832726065,std
ES,4228387.685438752,4228387.685438752,std
FI,261291.86953382753,261291.86953382753,std
FR,4106180.8075414384,4106180.8075414384,std
GR,2081989.0018039562,2081989.0018039562,std
HR,1320927.2825068848,1320927.2825068848,sqrt
HU,293871.94350004167,293871.94350004167,std
IT,3363629.7951877345,3363629.7951877345,sqrt
LT,59797.30076373642,59797.30076373642,sqrt
LU,34914.5570611852,34914.5570611852,sqrt
LV,45795.17030874527,45795.17030874527,std
MT,88049.37813876825,88049.37813876825,std
NL,1079129.046650415,1079129.046650415,sqrt
PL,796589.4270338762,796589.4270338762,sqrt
PT,917111.8136331195,917111.8136331195,sqrt
RO,231750.19196413876,231750.19196413876,sqrt
SE,553227.4385513791,553227.4385513791,std
SI,220661.12068207542,220661.12068207542,sqrt
SK,150700.71464831478,150700.71464831478,std
