date,country_code,yhat,h,bic,aicc,rmse,mae,acf
2022-12-01,AT,7386474.249108831,1,5139.343322549118,5115.878516869353,182.89999637902545,112.53774809450553,0.005718372250091002
2023-01-01,AT,9187963.619162716,2,5139.343322549118,5115.878516869353,182.89999637902545,112.53774809450553,0.005718372250091002
2023-02-01,AT,10195490.513123576,3,5139.343322549118,5115.878516869353,182.89999637902545,112.53774809450553,0.005718372250091002
2023-03-01,AT,7458474.885789609,4,5139.343322549118,5115.878516869353,182.89999637902545,112.53774809450553,0.005718372250091002
2022-12-01,BE,2465022.6015336537,1,4726.311258681799,4687.422306639455,103.91059936548491,63.31734377777313,0.0031768237393739
2023-01-01,BE,1770291.9186799661,2,4726.311258681799,4687.422306639455,103.91059936548491,63.31734377777313,0.0031768237393739
2023-02-01,BE,2205765.0358335534,3,4726.311258681799,4687.422306639455,103.91059936548491,63.31734377777313,0.0031768237393739
2023-03-01,BE,2107459.102472516,4,4726.311258681799,4687.422306639455,103.91059936548491,63.31734377777313,0.0031768237393739
2022-11-01,CY,661424.4105685634,1,2987.254303132805,2955.853488313241,62.14883772940602,37.22352913699946,0.019596732545285406
2022-12-01,CY,320678.5404230941,2,2987.254303132805,2955.853488313241,62.14883772940602,37.22352913699946,0.019596732545285406
2023-01-01,CY,259043.63337297906,3,2987.254303132805,2955.853488313241,62.14883772940602,37.22352913699946,0.019596732545285406
2023-02-01,CY,293658.4160257966,4,2987.254303132805,2955.853488313241,62.14883772940602,37.22352913699946,0.019596732545285406
2022-12-01,CZ,2408380.2731149103,1,2941.0298190474405,2920.5331067013685,100.65712996654203,60.74570763369216,0.033111070150905385
2023-01-01,CZ,2230620.1854419075,2,2941.0298190474405,2920.5331067013685,100.65712996654203,60.74570763369216,0.033111070150905385
2023-02-01,CZ,2752578.3382126214,3,2941.0298190474405,2920.5331067013685,100.65712996654203,60.74570763369216,0.033111070150905385
2023-03-01,CZ,2525147.3497657836,4,2941.0298190474405,2920.5331067013685,100.65712996654203,60.74570763369216,0.033111070150905385
2022-12-01,DE,22667283.68158438,1,5356.62228909572,5329.284710838122,239.96447768613257,131.28278812401683,0.01711147327963242
2023-01-01,DE,19819849.759555057,2,5356.62228909572,5329.284710838122,239.96447768613257,131.28278812401683,0.01711147327963242
2023-02-01,DE,22092991.047317073,3,5356.62228909572,5329.284710838122,239.96447768613257,131.28278812401683,0.01711147327963242
2023-03-01,DE,23291722.12621171,4,5356.62228909572,5329.284710838122,239.96447768613257,131.28278812401683,0.01711147327963242
