country_code,date,mean,sd,preds,resid_total_hat
AT,2023-02-01,8331443.272040302,3585933.015104122,1.1341693156045267,12398498.46558462
AT,2023-03-01,8331443.272040302,3585933.015104122,0.676893078666622,10758736.510526413
BE,2023-02-01,2594004.425692695,1285001.3285214757,0.1622843765133923,2802540.0651106834
BE,2023-03-01,2594004.425692695,1285001.3285214757,0.13635981976966466,2769226.975253663
HR,2023-02-01,4758302.178423236,6729127.986693246,-0.5572303418786686,1008627.8898528414
HR,2023-03-01,4758302.178423236,6729127.986693246,-0.5807468019362135,850382.6203316622
CY,2023-01-01,1203836.322463768,785637.7771419653,-1.045033817025985,382818.2774172899
CY,2023-02-01,1203836.322463768,785637.7771419653,-0.8611303258134879,527299.807462123
CY,2023-03-01,1203836.322463768,785637.7771419653,-0.5325561327789,785440.1061040317
CZ,2023-02-01,3557082.2134387353,1561140.1325962169,0.5209684698911791,4370386.999603099
CZ,2023-03-01,3557082.2134387353,1561140.1325962169,0.16878934020914005,3820586.0263936603
DK,2023-02-01,2477581.9119170983,1675822.0572118813,-0.4487513367242701,1725554.5236312505
DK,2023-03-01,2477581.9119170983,1675822.0572118813,-0.28715731437265307,1996357.3506016799
FI,2023-02-01,1434146.959697733,573999.1271540528,0.37746422088969434,1650811.093020302
FI,2023-03-01,1434146.959697733,573999.1271540528,0.27994172448158194,1594833.2652041614
FR,2023-02-01,33079499.98089172,22206278.945440665,-0.554990291595459,20755230.753711503
FR,2023-03-01,33079499.98089172,22206278.945440665,-0.5767113566398621,20272886.724343427
DE,2023-02-01,27049874.86901763,10392347.449901726,-0.09962817888749284,26014504.218217842
DE,2023-03-01,27049874.86901763,10392347.449901726,0.23188880206927717,29459743.86986305
GR,2023-02-01,6443943.41260745,6696103.954293379,-0.5823821747889686,2544251.82909306
GR,2023-03-01,6443943.41260745,6696103.954293379,-0.3913079185365948,3823704.9119482464
HU,2023-02-01,1880479.5735849056,1035778.121752867,-0.2783617064021574,1592158.608159756
HU,2023-03-01,1880479.5735849056,1035778.121752867,-0.23741640411466278,1634568.8564577005
IT,2023-02-01,28189371.35768262,20466338.125823803,-0.43296490135987126,19328165.289837547
IT,2023-03-01,28189371.35768262,20466338.125823803,-0.4616458575190801,18741171.143311247
LV,2023-02-01,291765.65560165973,144205.54365194053,-0.2755962312221527,252023.1512498433
LV,2023-03-01,291765.65560165973,144205.54365194053,-0.09276358783245087,278388.6319871766
LT,2023-02-01,426877.48908296943,263413.4402527942,0.41294440265574184,535652.5948196534
LT,2023-03-01,426877.48908296943,263413.4402527942,0.6364959004510606,594539.0639275834
LU,2023-02-01,216203.15869017632,142067.7351864155,-0.4837882486058018,147472.45790094754
LU,2023-03-01,216203.15869017632,142067.7351864155,-0.41582701518307263,157127.55641378998
MT,2023-02-01,662680.5605095541,284161.6873531267,-0.5393616870710326,509414.6334178204
MT,2023-03-01,662680.5605095541,284161.6873531267,-0.2229111699635134,599337.7463228626
NL,2023-02-01,7029220.607052897,3983863.707570188,0.29403367775503564,8200610.704664571
NL,2023-03-01,7029220.607052897,3983863.707570188,0.3737373955109711,8518139.45319086
PL,2023-02-01,5349690.464730291,2713287.776970902,0.6446941965801075,7098931.348195173
PL,2023-03-01,5349690.464730291,2713287.776970902,-0.007435442245130423,5329515.970170205
PT,2023-02-01,3867157.360201511,2193597.6365220156,0.31482060042143467,4557747.085214412
PT,2023-03-01,3867157.360201511,2193597.6365220156,0.40431668449795666,4754065.483722646
RO,2023-02-01,1725819.972332016,955012.274472334,0.2082089350869707,1924662.0609948866
RO,2023-03-01,1725819.972332016,955012.274472334,0.37745868774229674,2086297.6522321294
SK,2023-02-01,976392.6390041494,406330.1761343312,0.6285189499867705,1231778.8546560388
SK,2023-03-01,976392.6390041494,406330.1761343312,0.478769943309741,1170931.3143970203
SI,2023-03-01,844221.1510791366,540624.6509775436,-0.09973488109819936,790302.0157951359
ES,2023-02-01,26252392.17884131,15497158.13319764,-0.1055665759017933,24616410.25851101
ES,2023-03-01,26252392.17884131,15497158.13319764,0.19276061102294495,29239633.849715687
SE,2023-01-01,3386801.0303030303,2402674.254485347,-0.11074815145163402,3120709.298078345
SE,2023-02-01,3386801.0303030303,2402674.254485347,0.045865030459719514,3496999.7581697847
SE,2023-03-01,3386801.0303030303,2402674.254485347,0.15964855566106595,3770384.504755644
