country_code,date,mean,sd,preds,resid_total_hat
AT,2022-10-01,8331686.732824427,3592925.2415411053,-0.45682142205004794,6690361.514664108
AT,2022-11-01,8331686.732824427,3592925.2415411053,-0.9186674901324522,5030983.1189443255
BE,2022-10-01,2591525.9312977097,1289674.9516022766,0.21748198605225677,2872007.001134021
BE,2022-11-01,2591525.9312977097,1289674.9516022766,0.1983398028322102,2847319.8069161456
HR,2022-10-01,4817643.662447257,6769143.479789889,-0.347436378290779,2465796.9676984167
HR,2022-11-01,4817643.662447257,6769143.479789889,-0.5169981932047422,1318008.713852223
CY,2022-09-01,1202638.0551470588,786012.6108810828,0.5256502458222376,1615805.7772760787
CY,2022-10-01,1202638.0551470588,786012.6108810828,-0.0206529865195903,1186404.5472903037
CY,2022-11-01,1202638.0551470588,786012.6108810828,-1.004385276043554,413178.5619935477
CZ,2022-10-01,3560951.9437751006,1572307.6055513802,0.18400403732976178,3850262.891120845
CZ,2022-11-01,3560951.9437751006,1572307.6055513802,-0.638621984726493,2556841.7401173185
DK,2022-10-01,2488844.4603174604,1690166.6898502673,0.06784649717906181,2603516.349872531
DK,2022-11-01,2488844.4603174604,1690166.6898502673,0.06931052325184,2605990.7979738126
FI,2022-10-01,1432249.872773537,576474.0972670465,0.20459834439338617,1550195.5186600466
FI,2022-11-01,1432249.872773537,576474.0972670465,0.04128359853289493,1456048.7979697227
FR,2022-10-01,33393111.46405229,22406909.13833912,-0.5278469323335362,21565693.212303706
FR,2022-11-01,33393111.46405229,22406909.13833912,-0.7160598708223425,17348423.000925213
DE,2022-10-01,27048605.699745547,10418012.012818554,0.7633604981023977,35001304.53908748
DE,2022-11-01,27048605.699745547,10418012.012818554,-0.280781057831493,24123425.26628515
GR,2022-10-01,6474430.971014493,6719081.414310801,0.78666593161147,11760103.411376614
GR,2022-11-01,6474430.971014493,6719081.414310801,-0.48377557874971866,3223903.4711398073
HU,2022-10-01,1882130.4367816092,1043159.6471054588,0.1417013905416058,2029947.6093333436
HU,2022-11-01,1882130.4367816092,1043159.6471054588,-0.4620158973596846,1400174.0963347687
IT,2022-10-01,28276646.783715013,20546260.069610335,-0.1147999768166803,25917936.604054265
IT,2022-11-01,28276646.783715013,20546260.069610335,-0.566716853495371,16632734.925967861
LV,2022-10-01,292268.9831223629,145276.2775160022,0.4719999770460016,360839.3827752445
LV,2022-11-01,292268.9831223629,145276.2775160022,0.371615481357257,346255.8969212625
LT,2022-09-01,423469.8303571429,263909.75043971936,0.9714901960634619,679855.5655548852
LT,2022-10-01,423469.8303571429,263909.75043971936,0.7630687724865396,624851.1196724086
LT,2022-11-01,423469.8303571429,263909.75043971936,0.5025440904969123,556096.1158651388
LU,2022-10-01,216808.69974554708,142613.10597749203,-0.3668198093058527,164495.3874063681
LU,2022-11-01,216808.69974554708,142613.10597749203,-0.7045560716078617,116329.77003824964
MT,2022-10-01,664185.7320261438,286605.06169654266,-0.0471385032886212,650675.5983828258
MT,2022-11-01,664185.7320261438,286605.06169654266,-0.7170550645539664,458674.12100983586
NL,2022-09-01,7005637.469387755,3992965.320466971,1.7617020140532191,14040052.516499076
NL,2022-10-01,7005637.469387755,3992965.320466971,1.2448503488812457,11976281.741641778
NL,2022-11-01,7005637.469387755,3992965.320466971,0.6911704628327497,9765457.15801003
PL,2022-10-01,5339106.9662447255,2733496.7005512523,0.4483232723210353,6564597.151914616
PL,2022-11-01,5339106.9662447255,2733496.7005512523,0.291649376109155,6136329.573556932
PT,2022-10-01,3857060.1679389314,2198214.7873201324,0.6826700321123536,5357715.5273886165
PT,2022-11-01,3857060.1679389314,2198214.7873201324,-0.4419810053770472,2885490.9862044873
RO,2022-10-01,1726451.345381526,962288.9207525158,-0.42749302820029433,1315079.54064544
RO,2022-11-01,1726451.345381526,962288.9207525158,-0.30021252193339387,1437560.1616538495
SK,2022-10-01,977983.4978902952,409234.0979432336,-0.11782962419007303,929763.5979238804
SK,2022-11-01,977983.4978902952,409234.0979432336,-0.330508910186202,842727.9821680436
SI,2022-10-01,845211.6556776557,545293.461971617,0.4794419572624944,1106648.2203677692
SI,2022-11-01,845211.6556776557,545293.461971617,0.08096491940215864,889361.2968767118
ES,2022-10-01,26246266.117048346,15558654.204774234,0.7417428838035494,37786787.15499981
ES,2022-11-01,26246266.117048346,15558654.204774234,0.2786118284699931,30581091.21357284
SE,2022-10-01,3385159.979643766,2411598.9881854756,0.34645455706899075,4220669.438923591
SE,2022-11-01,3385159.979643766,2411598.9881854756,0.012360781648870112,3414969.2281613625
