geo,ar1,ma1,ma2,ma3,ma4,ma5,intercept,S1-12,C1-12,S2-12,C2-12,S3-12,C3-12,sigma,S4-12,C4-12,S5-12,C5-12,C6-12,ar2,ar3,ar4,ar5,drift
AT,0.899617183468935,-0.177928064788079,-0.2024942012855025,-0.25611877951113887,-0.21272694538650205,0.2519675112215649,2.7599122796336397,-2.6957614219647855e-4,-0.012778079764193812,0.03050542624744658,0.005939999853104937,0.0037285418342163524,8.505958366531331e-4,4.4983706852340827e-4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BE,NA,0.1445361786991115,-0.6513257228283643,-0.40305126213249043,NA,NA,NA,-0.020682358956195416,-0.028899673216198116,0.005497732380439198,-0.0034066315526835645,-0.008722434480967491,0.006340277014613024,2.776881682988226e-4,6.203743633107538e-4,-0.005248444492899036,0.0011302287187064013,0.006386557597118367,0.0016739226048010833,NA,NA,NA,NA,NA
CY,0.42680326851263295,-0.3140928119197076,-0.6330415766658045,NA,NA,NA,NA,-0.05517256597171092,-0.05082954584076843,-0.0024660439461682004,-0.011020940839160762,-0.0017061761902254294,-0.00950247428386623,0.0017070149230169723,0.0022067862381625683,1.106250150554283e-4,0.006777963696231815,9.179997321322386e-4,0.0010525878421320106,NA,NA,NA,NA,NA
CZ,0.6561403638958229,0.3554494881780396,NA,NA,NA,NA,2.7053734908823404,-0.02079266681139157,-0.022269109066160923,0.01502909327627851,-0.003525484280311278,-0.0033881032065297334,-1.5141646465812678e-4,3.684706737015957e-4,-0.00126004751073977,-0.002862444462217807,0.0031625962435214063,0.004055818018673372,NA,NA,NA,NA,NA,NA
DE,0.7337440050908322,-0.5954504022664481,NA,NA,NA,NA,NA,-0.018357516162972428,-0.02190304975656776,0.002122638454106896,-0.0036379070731103564,7.940700017025822e-4,-8.436238290627268e-4,7.191345919496436e-5,7.39577953984149e-4,-6.698439458606392e-4,0.00262993902603571,0.003106525547558391,8.068327188402371e-4,-0.42584742288475735,0.08576008506411577,-0.09594294121133473,-0.16257425916288173,NA
DK,-0.0643696333445652,0.9048461063243867,NA,NA,NA,NA,2.674048950650666,-0.027032420587929942,-0.047919965641691084,0.006203215453564044,0.0031191822894608198,-0.007919861961793583,0.007378657445116123,1.2864805626689471e-4,0.0017517463801357375,-0.003547893955480195,-9.87037331198206e-4,0.008116189210499019,NA,0.5653499045400979,NA,NA,NA,NA
GR,0.4019894024948685,-0.31665459188264816,-0.41226750965069725,-0.1987182250545298,NA,NA,NA,-0.05960911280711472,-0.07371866537128254,0.007337879697710525,-0.008198824360315155,0.010664218805056174,-0.002206282374955239,3.9518506931633944e-4,0.004571920995239119,0.0010784307202635866,0.005348322114489072,0.005432659885162387,0.0021197498459832394,NA,NA,NA,NA,NA
ES,0.03569287503123827,0.5607303750079569,NA,NA,NA,NA,NA,-0.021855959756536848,-0.02599281003545518,0.007797534110891068,-0.006986935862963502,-8.256334546928911e-4,0.0024843225202667383,1.221933828641025e-4,0.001063778412168163,-7.588489663947623e-4,0.00288296504906881,0.0010874141112561676,0.0010867209534557033,NA,NA,NA,NA,1.6403501064155427e-4
FI,0.5498683143679999,-0.5353356282898449,-0.3961968559967232,NA,NA,NA,NA,-0.01053289732245744,-0.02003452145746825,0.014634718792106635,0.0016952212321349356,-0.01207726723275643,-0.002219335812160981,7.564278028167648e-5,0.003314803213713651,0.001132864893311412,-2.966100100400838e-4,5.689468855329424e-4,-3.3073924980953377e-4,NA,NA,NA,NA,NA
FR,NA,0.10170424873502858,-0.5106992452425119,-0.4017634495939401,NA,NA,NA,-0.02302655138721045,-0.0291483960720129,0.02068458317490054,-0.0035168848780018705,-0.003154466607627013,0.005032607552590619,2.649192536247031e-4,-0.0014414674358135633,-0.001546038218722682,0.004014447572571616,0.003121648882626702,0.0013199206293128683,NA,NA,NA,NA,NA
