geo,ar1,ma1,ma2,ma3,ma4,ma5,intercept,S1-12,C1-12,S2-12,C2-12,S3-12,C3-12,sigma,S4-12,C4-12,S5-12,C5-12,C6-12,ar2,ar3,ar4,ar5,drift
HR,0.7652372294262763,-0.7603461101732132,NA,NA,NA,NA,NA,-0.07914788153104321,-0.11028451567388584,0.01990311561893446,-0.007744050591000566,0.005619995868945567,0.006984496877016012,4.7228988610928364e-4,0.004192258167616116,0.0018062603050436098,0.0015616681372486178,0.001848105882684973,0.0021639773330094096,-0.4251510767258715,NA,NA,NA,NA
HU,0.9269841204243932,-0.7410283029994713,NA,NA,NA,NA,NA,-0.029057052887055568,-0.03169824515597706,0.008917175155616606,-6.115506253586101e-4,-0.006318299277848644,0.0036601228246369447,2.4150892177857088e-4,-6.092360558888562e-4,-0.0025611841217499116,0.005049427684441048,0.0023951861991152673,NA,-0.4365933446313256,NA,NA,NA,NA
IT,1.078189632452639,-0.7796101935145366,NA,NA,NA,NA,NA,-0.026783778392473312,-0.038744589518062554,0.01946935412838245,-0.005233557587671221,0.0013923737413070846,0.00396411079547763,7.453213405904242e-5,0.0010761767372466455,-7.235536200465506e-6,0.002673101225774774,3.397447519577247e-4,0.0018617342462473345,-0.5194810388843591,NA,NA,NA,NA
LT,1.001730060298501,-0.7371363804179829,NA,NA,NA,NA,NA,-0.026099583369173875,-0.031123657091497055,0.011558761297940087,0.0038097325734160444,-0.004033222749346424,0.002983601346891581,1.3893240210070102e-4,-8.33997080209471e-4,-8.222128683764134e-4,0.0036796051536821025,0.0010178200285096998,NA,-0.4478331380622937,NA,NA,NA,NA
LU,-0.016883722841528392,0.7739949581966096,NA,NA,NA,NA,2.4911272373813023,-0.03168295277212983,-0.053168757280977946,0.007742528496062856,0.0018232497957535922,-0.006548950376397416,0.005858899906832809,3.244209590961117e-4,-0.001114307126933401,-0.009743003599438435,0.0051107228223388436,0.005244343921261732,NA,0.3975880804954845,NA,NA,NA,NA
LV,1.8525149114638961,-1.7331488531336732,0.8610146597314067,NA,NA,NA,NA,-0.02313251857311995,-0.026888723936221604,0.011363749150950033,0.004093528824547513,-0.0045319699615700955,0.003463195422279939,1.1224003889637466e-4,8.799002047620739e-4,-0.0019650109195933105,0.0034534965044015703,0.0017115235008842845,4.717075161811053e-4,-1.3671813873124,0.3662053987159392,NA,NA,NA
MT,0.9884271890349974,-0.6879221434557531,NA,NA,NA,NA,NA,-0.02939374969912006,-0.01824422213366964,0.006350081891707771,-0.008662454623813999,-0.005276896296161007,-0.002787511388173079,7.18330170708423e-4,2.4241600676480884e-4,-0.0010964232916182686,0.002738833090672758,0.002496488001165939,NA,-0.5314442440828925,NA,NA,NA,NA
NL,1.5339617146175528,-1.7602387623071518,0.8810625347013323,NA,NA,NA,NA,-0.024099633565011484,-0.036463071612852754,0.00351475323970569,-0.0019968191405683004,-4.18185772598805e-4,0.0053947118742113205,8.355087577541974e-5,-7.107800787193889e-4,-0.0059379022790504235,0.004415180837478637,0.003042698899473506,0.0023042603835948007,-0.8053043668575177,NA,NA,NA,NA
PL,0.9105184187124875,-0.7922784296832156,NA,NA,NA,NA,NA,-0.022721647712868897,-0.0244501772338205,0.013818256388419312,-1.556363148617606e-4,-0.003176205592916816,-5.887194930391327e-4,1.7352329609555625e-4,-0.0020867383456310484,-0.0029942503402701558,0.0022580987250043084,0.0028268638045255445,NA,-0.4059156863166748,NA,NA,NA,NA
PT,0.6470300971609616,-0.5103729415063937,-0.4461310964661924,NA,NA,NA,NA,-0.02507333794109031,-0.03200675279651458,0.00679169411237336,-0.01055766969665593,-0.0015428572118606051,0.0037872960244042693,1.6205278405932085e-4,-0.0010627482764199534,-0.0014634621829778384,0.0038783524248738937,5.005457908053477e-4,0.0013794814129494536,NA,NA,NA,NA,NA
RO,0.41591765271348874,1.0322228741107478,0.20994651916619522,NA,NA,NA,2.652957686341318,-0.03339234476302368,-0.025210899258847702,0.013431807410379536,1.8971736471631861e-4,-0.0068735910798554505,0.001993395205537204,2.0810171899528207e-4,-0.003642600253415648,-0.002011657098372822,0.0027101436572347015,3.6157392590952913e-4,5.424223194628382e-4,NA,NA,NA,NA,NA
SE,1.549126909184031,-1.6366774927142453,1.5709518150327715,-0.8731897291183383,NA,NA,NA,-0.013263256782845772,-0.028661742253755042,0.013118497202937583,0.0014653868648368644,-0.010015454450658382,-3.928984771070267e-4,5.29128798257713e-5,6.542883203879161e-4,-0.0047139271005769475,0.001161999560096708,0.002886807543484896,-0.002135864507290465,-1.5038017868970381,0.6236352601305015,NA,NA,1.603331016695139e-4
SI,0.5810305946983534,-0.36573147494561536,-0.5942319381714256,NA,NA,NA,NA,-0.027925743477835864,-0.02931024232897996,0.022072414433959693,-0.003090066986852564,-0.0017516754397785932,9.360150550706383e-4,4.8226941862107743e-4,-5.945419282175165e-4,-0.0018337748925501204,0.0038491342219667164,0.0018067890558966014,0.00149015811135023,NA,NA,NA,NA,NA
SK,0.6456520734074782,0.3665238642742648,NA,NA,NA,NA,2.6157692600678284,-0.02068615705727427,-0.02018080692037857,0.01690207404791061,-0.0040508549287553205,-0.004207811377529,-0.0034172233688077617,3.562233492970602e-4,-0.0029604019620915085,-0.004277485850857929,0.0031679074606721534,0.0022831992895625728,-8.564734884364583e-4,NA,NA,NA,NA,NA
