geo,p,d,q
AT,0,1,0
BE,1,0,0
CY,0,1,0
CZ,0,0,0
DE,0,0,0
DK,0,1,0
EL,0,1,0
ES,0,1,0
FI,1,1,0
FR,0,0,0
HR,0,1,0
HU,0,1,0
IT,0,0,0
LT,0,1,0
LU,0,0,0
LV,0,1,0
MT,0,0,0
NL,0,1,0
PL,0,1,0
PT,0,0,0
RO,1,0,0
SE,0,1,0
SI,0,0,0
SK,0,0,1
