geo,p,d,q
AT,0,2,2
BE,0,2,1
BG,0,1,1
CY,0,1,2
CZ,1,2,0
DE,2,1,0
DK,0,1,1
EE,0,1,0
EL,0,1,0
ES,1,1,1
FI,0,1,0
FR,0,2,1
HR,0,2,1
HU,0,2,1
IE,0,1,0
IT,0,2,1
LT,0,2,1
LU,0,1,0
LV,0,2,2
MT,1,1,0
NL,0,1,1
PL,0,2,1
PT,0,1,0
RO,0,2,1
SI,0,2,1
SK,0,1,0
