geo,bic,rmse,mae,acf
AT,267.0302486911738,0.3705986705046013,0.24581473349957073,0.002495114377208497
BE,34.43543781685469,0.21551826222025522,0.13181323310906154,0.009005670485793928
CY,-130.62713968438678,0.15447177788463237,0.09729207629453093,-0.014422248254202462
CZ,-11.253148365212809,0.19011409549038027,0.11997176240329115,0.023245885269468483
DE,71.74017232724681,0.23298290665533314,0.14857195848826113,3.6039781995740854e-4
DK,-220.76688977874906,0.12500186515845552,0.08311160836504257,-0.015734394667883216
EL,-145.46691925886716,0.14514649593037413,0.08834404973255311,-0.006292547894479837
ES,-106.49213896584956,0.1576806117698411,0.0938735248504209,0.01770274924406964
FI,191.38394146125256,0.318437470493722,0.23201758172133202,-0.004695121570755717
FR,196.8920109649008,0.33762007483472184,0.2005168848251723,0.024371125738544958
HR,-155.36660513407617,0.1433417584969117,0.08210031801736703,0.006856926385435754
HU,-81.34322304322508,0.17127075228483216,0.11197132937671292,0.0668225108458877
IT,-234.83777940018527,0.11703153380896272,0.07673497987346593,-0.004303587973301351
LT,-129.5652842393146,0.15330907998700727,0.09766665329294505,0.0050361171638108595
LU,-66.52569850701843,0.17585927535949505,0.10570379490803998,0.02810137702089118
LV,-31.615437797097258,0.19430523780552925,0.13267754505961354,0.0024022426444546587
MT,121.34794051813427,0.25949483424674097,0.16688389698439574,-0.002269351886908154
NL,39.32842700635035,0.21848128872228556,0.14551826480694036,0.003986678639843415
PL,-152.49596977484933,0.1443386892872115,0.08691183080786002,4.7593637096947713e-4
PT,-55.905256899522904,0.1756955545507282,0.11039411816663057,0.012688642716699892
RO,-108.96328580136891,0.16110025754118823,0.1088184252080889,-0.010581770486127498
SE,-220.08781455376564,0.12119809085157048,0.07666169175465233,0.0522352368353124
SI,-47.476489311831315,0.18663929995841666,0.12662217399275214,-0.010546128203501695
SK,74.8223156718177,0.2391366100833806,0.14814527880071446,-0.00841048562968344
