Countries;Weights
AT (Austria);1.59
BE (Belgium);1.79
CY (Cyprus);1.55
CZ (Czech Republic);1.94
DE (Germany);2
DK (Denmark);1.6
EL (Greece);1.38
ES (Spain);1.85
FI (Finland);1.86
FR (France);1.67
HR (Croatia);1.27
HU (Hungary);1.87
IT (Italy);1.68
LT (Lithuania);1.91
LU (Luxembourg);1.81
LV (Latvia);1.9
MT (Malta);1.97
NL (Netherlands);1.78
PL (Poland);0.73
PT (Portugal);0.66
RO (Romania);0.67
SE (Sweden);0.5
SI (Slovenia);0.63
SK (Slovakia);0.79
