country_code,date,resid_total,resid_total_sqrt,resid_total_log,resid_total_std,mean,sd
AT,1990-01-01,7517179,2741.7474354870837,15.832701492567322,-0.21622805002725615,8287255.235897436,3561407.6702831364
AT,1990-02-01,9007131,3001.1882646711783,16.01352715490348,0.20213236752122038,8287255.235897436,3561407.6702831364
AT,1990-03-01,8398225,2897.9691164675996,15.94353093196073,0.031158961392853395,8287255.235897436,3561407.6702831364
AT,1990-04-01,5373056,2317.9853321365085,15.496907392139429,-0.8182717356998765,8287255.235897436,3561407.6702831364
AT,1990-05-01,5016131,2239.6720742108655,15.428169477381298,-0.9184919387892982,8287255.235897436,3561407.6702831364
AT,1990-06-01,8143484,2853.6790289028654,15.912728656236654,-0.04036921610998996,8287255.235897436,3561407.6702831364
AT,1990-07-01,13931905,3732.546717725044,16.44969209161044,1.5849490669664918,8287255.235897436,3561407.6702831364
AT,1990-08-01,15261300,3906.571386778949,16.540830770231437,1.958227029804796,8287255.235897436,3561407.6702831364
AT,1990-09-01,9103800,3017.2504039273904,16.024202466741386,0.22927584811924884,8287255.235897436,3561407.6702831364
AT,1990-10-01,4645632,2155.3728215786705,15.351437981254586,-1.0225235561442823,8287255.235897436,3561407.6702831364
AT,1990-11-01,2250793,1500.264310046733,14.626793156531093,-1.6949652482265614,8287255.235897436,3561407.6702831364
AT,1990-12-01,5193617,2278.950855108552,15.462940929556448,-0.8686560265793687,8287255.235897436,3561407.6702831364
AT,1991-01-01,7572121,2751.7487167254208,15.839983771109717,-0.2008010040143991,8287255.235897436,3561407.6702831364
AT,1991-02-01,9574860,3094.327067392844,16.07465147151417,0.3615437723814971,8287255.235897436,3561407.6702831364
AT,1991-03-01,9262347,3043.410422535876,16.041468030231428,0.273793919252452,8287255.235897436,3561407.6702831364
AT,1991-04-01,4247404,2060.9230941498035,15.261818530742493,-1.134341139770798,8287255.235897436,3561407.6702831364
AT,1991-05-01,5671681,2381.5291306217523,15.550996104427739,-0.7344214642210546,8287255.235897436,3561407.6702831364
AT,1991-06-01,7518003,2741.897700498689,15.83281110214848,-0.2159966808394837,8287255.235897436,3561407.6702831364
AT,1991-07-01,14401185,3794.8893264494554,16.482821052827124,1.7167171888570956,8287255.235897436,3561407.6702831364
AT,1991-08-01,16220069,4027.4146794190438,16.601759860649892,2.2274377152312628,8287255.235897436,3561407.6702831364
AT,1991-09-01,9243543,3040.319555573065,16.03943581168138,0.2685139845353728,8287255.235897436,3561407.6702831364
AT,1991-10-01,4891573,2211.6900777459755,15.403024486615752,-0.9534663117147368,8287255.235897436,3561407.6702831364
AT,1991-11-01,2252447,1500.815445016475,14.627527738776044,-1.694500825123921,8287255.235897436,3561407.6702831364
AT,1991-12-01,5532185,2352.059735635981,15.526093413000824,-0.7735902460384166,8287255.235897436,3561407.6702831364
AT,1992-01-01,8441616,2905.4459210248606,15.948684317438566,0.043342626959157506,8287255.235897436,3561407.6702831364
AT,1992-02-01,9894255,3145.5134715972845,16.107464843633544,0.45122600748900105,8287255.235897436,3561407.6702831364
AT,1992-03-01,8446050,2906.2088706767104,15.949209434420615,0.04458764028268064,8287255.235897436,3561407.6702831364
AT,1992-04-01,5271392,2295.9512189939924,15.477805022262,-0.846817751604851,8287255.235897436,3561407.6702831364
AT,1992-05-01,5296289,2301.3667678142915,15.482516944596526,-0.839826976522362,8287255.235897436,3561407.6702831364
AT,1992-06-01,8190986,2861.989867207779,15.918544839303262,-0.027031231695466718,8287255.235897436,3561407.6702831364
AT,1992-07-01,14279097,3778.769244079347,16.47430727758216,1.682436361919276,8287255.235897436,3561407.6702831364
AT,1992-08-01,16231695,4028.8577785769503,16.602476370266896,2.230702154766509,8287255.235897436,3561407.6702831364
AT,1992-09-01,9312948,3051.712306230717,16.04691624789538,0.2880020652117651,8287255.235897436,3561407.6702831364
AT,1992-10-01,4666107,2160.117357922944,15.355835663147989,-1.0167744249311257,8287255.235897436,3561407.6702831364
AT,1992-11-01,2054437,1433.330736431756,14.53551240244021,-1.7500996271516198,8287255.235897436,3561407.6702831364
AT,1992-12-01,5663493,2379.8094461532,15.549551397637327,-0.7367205551306187,8287255.235897436,3561407.6702831364
AT,1993-01-01,9101550,3016.877524859105,16.023955286652956,0.22864407545846238,8287255.235897436,3561407.6702831364
AT,1993-02-01,9963573,3156.5127910401375,16.114446300170545,0.4706896596225095,8287255.235897436,3561407.6702831364
AT,1993-03-01,8155850,2855.8448837428127,15.914246019139041,-0.036896993566307705,8287255.235897436,3561407.6702831364
AT,1993-04-01,5153226,2270.0718050317264,15.455133484295457,-0.8799973285979575,8287255.235897436,3561407.6702831364
AT,1993-05-01,5330747,2308.8410512635987,15.489001936415729,-0.8301515888133048,8287255.235897436,3561407.6702831364
AT,1993-06-01,7951868,2819.905672181252,15.888917427583186,-0.0941726606296583,8287255.235897436,3561407.6702831364
AT,1993-07-01,13517986,3676.6813840745026,16.41953165298574,1.4687256411975758,8287255.235897436,3561407.6702831364
AT,1993-08-01,15274760,3908.293745357429,16.541712350950874,1.962006434255545,8287255.235897436,3561407.6702831364
AT,1993-09-01,8625836,2936.977357760866,15.97027244372076,0.09506936454585851,8287255.235897436,3561407.6702831364
AT,1993-10-01,4413272,2100.7789031690127,15.300126922427491,-1.0877674207933206,8287255.235897436,3561407.6702831364
AT,1993-11-01,2150973,1466.619582577568,14.581430855869831,-1.72299349133754,8287255.235897436,3561407.6702831364
AT,1993-12-01,5200129,2280.3791351439786,15.464193990936257,-0.8668275361051282,8287255.235897436,3561407.6702831364
