date,country_code,yhat,h,bic,aicc,rmse,mae,acf
2022-07-01,AT,18927433.96229929,1,149.21142108029667,125.82847100091878,0.27262937260953407,0.1660498904408882,0.0026116165366037772
2022-08-01,AT,20944311.34803749,2,149.21142108029667,125.82847100091878,0.27262937260953407,0.1660498904408882,0.0026116165366037772
2022-09-01,AT,13044997.204577401,3,149.21142108029667,125.82847100091878,0.27262937260953407,0.1660498904408882,0.0026116165366037772
2022-10-01,AT,8820848.595172342,4,149.21142108029667,125.82847100091878,0.27262937260953407,0.1660498904408882,0.0026116165366037772
2022-08-01,BE,5730287.3212844785,1,106.57184396681237,71.62182299911932,0.25381469331484113,0.1517005926617145,0.0022440761763950438
2022-09-01,BE,3649738.604084628,2,106.57184396681237,71.62182299911932,0.25381469331484113,0.1517005926617145,0.0022440761763950438
2022-10-01,BE,3521622.401396421,3,106.57184396681237,71.62182299911932,0.25381469331484113,0.1517005926617145,0.0022440761763950438
2022-11-01,BE,2688867.41070373,4,106.57184396681237,71.62182299911932,0.25381469331484113,0.1517005926617145,0.0022440761763950438
2022-07-01,CY,2288996.472163966,1,-205.83403457359898,-223.36073726011182,0.14848158364013472,0.09414188389892277,0.013275862047292373
2022-08-01,CY,2652285.456811279,2,-205.83403457359898,-223.36073726011182,0.14848158364013472,0.09414188389892277,0.013275862047292373
2022-09-01,CY,2172961.854752241,3,-205.83403457359898,-223.36073726011182,0.14848158364013472,0.09414188389892277,0.013275862047292373
2022-10-01,CY,2108338.5215985603,4,-205.83403457359898,-223.36073726011182,0.14848158364013472,0.09414188389892277,0.013275862047292373
2022-08-01,CZ,12993611.118113019,1,57.555347873174625,37.166255840941254,0.24625559310071374,0.13043968678201953,-0.00868009734904276
2022-09-01,CZ,9464481.72217505,2,57.555347873174625,37.166255840941254,0.24625559310071374,0.13043968678201953,-0.00868009734904276
2022-10-01,CZ,7094923.258280049,3,57.555347873174625,37.166255840941254,0.24625559310071374,0.13043968678201953,-0.00868009734904276
2022-11-01,CZ,5880923.971282758,4,57.555347873174625,37.166255840941254,0.24625559310071374,0.13043968678201953,-0.00868009734904276
2022-08-01,DE,53760076.13618748,1,-57.09833707068615,-88.20943752215636,0.2040336302209767,0.11927070364187062,0.0028018479168917753
2022-09-01,DE,43152731.90303462,2,-57.09833707068615,-88.20943752215636,0.2040336302209767,0.11927070364187062,0.0028018479168917753
2022-10-01,DE,39715533.15271785,3,-57.09833707068615,-88.20943752215636,0.2040336302209767,0.11927070364187062,0.0028018479168917753
2022-11-01,DE,24610572.591796987,4,-57.09833707068615,-88.20943752215636,0.2040336302209767,0.11927070364187062,0.0028018479168917753
2022-08-01,DK,5493155.0087909065,1,-111.17109394647417,-135.62191185834422,0.14808859726812518,0.09638199149849512,0.019031708483334894
2022-09-01,DK,3334398.586740304,2,-111.17109394647417,-135.62191185834422,0.14808859726812518,0.09638199149849512,0.019031708483334894
2022-10-01,DK,2823892.792170064,3,-111.17109394647417,-135.62191185834422,0.14808859726812518,0.09638199149849512,0.019031708483334894
2022-11-01,DK,2136464.9631216405,4,-111.17109394647417,-135.62191185834422,0.14808859726812518,0.09638199149849512,0.019031708483334894
2022-08-01,GR,28704891.91784426,1,-363.8343871039925,-386.38783809699567,0.1288079190344094,0.07485500584128771,0.003217404842475462
2022-09-01,GR,20325225.706461996,2,-363.8343871039925,-386.38783809699567,0.1288079190344094,0.07485500584128771,0.003217404842475462
2022-10-01,GR,10938132.068089066,3,-363.8343871039925,-386.38783809699567,0.1288079190344094,0.07485500584128771,0.003217404842475462
2022-11-01,GR,2893768.3222811515,4,-363.8343871039925,-386.38783809699567,0.1288079190344094,0.07485500584128771,0.003217404842475462
2022-08-01,ES,73770357.83522564,1,-349.7303649312052,-369.25718804777017,0.14289523572773907,0.08279920285670446,0.011958828040827986
2022-09-01,ES,51663003.05361697,2,-349.7303649312052,-369.25718804777017,0.14289523572773907,0.08279920285670446,0.011958828040827986
2022-10-01,ES,43151079.63520445,3,-349.7303649312052,-369.25718804777017,0.14289523572773907,0.08279920285670446,0.011958828040827986
2022-11-01,ES,30599256.81941868,4,-349.7303649312052,-369.25718804777017,0.14289523572773907,0.08279920285670446,0.011958828040827986
2022-08-01,FI,2149801.4849179043,1,-198.0190633623679,-240.61261556922827,0.16660098369549797,0.0958352246388925,6.3407385457582e-4
2022-09-01,FI,1698033.2324151015,2,-198.0190633623679,-240.61261556922827,0.16660098369549797,0.0958352246388925,6.3407385457582e-4
2022-10-01,FI,1617715.2890473467,3,-198.0190633623679,-240.61261556922827,0.16660098369549797,0.0958352246388925,6.3407385457582e-4
2022-11-01,FI,1454084.4968109366,4,-198.0190633623679,-240.61261556922827,0.16660098369549797,0.0958352246388925,6.3407385457582e-4
2022-08-01,FR,51572007.647153735,1,-52.87929042317757,-67.10053226928216,0.16615491500931237,0.08601310244665879,0.006123399087116419
2022-09-01,FR,2677689.5796240345,2,-52.87929042317757,-67.10053226928216,0.16615491500931237,0.08601310244665879,0.006123399087116419
2022-10-01,FR,-3137810.957751319,3,-52.87929042317757,-67.10053226928216,0.16615491500931237,0.08601310244665879,0.006123399087116419
2022-11-01,FR,-4433597.765410751,4,-52.87929042317757,-67.10053226928216,0.16615491500931237,0.08601310244665879,0.006123399087116419
2022-08-01,HR,27817275.255525,1,-164.36849692873471,-181.12785809018277,0.15256100738784747,0.07859456673486478,-0.00227297420354355
2022-09-01,HR,10459930.616710573,2,-164.36849692873471,-181.12785809018277,0.15256100738784747,0.07859456673486478,-0.00227297420354355
