DATAFLOW,LAST UPDATE,freq,indic_bt,nace_r2,s_adj,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:STS_INPPD_M(1.0),29/04/23 11:00:00,M,PRIN,B-E36,NSA,I15,AL,2014-01,104.0,
ESTAT:STS_INPPD_M(1.0),29/04/23 11:00:00,M,PRIN,B-E36,NSA,I15,AL,2014-02,104.2,
ESTAT:STS_INPPD_M(1.0),29/04/23 11:00:00,M,PRIN,B-E36,NSA,I15,AL,2014-03,104.0,
ESTAT:STS_INPPD_M(1.0),29/04/23 11:00:00,M,PRIN,B-E36,NSA,I15,AL,2014-04,102.8,
ESTAT:STS_INPPD_M(1.0),29/04/23 11:00:00,M,PRIN,B-E36,NSA,I15,AL,2014-05,103.4,
ESTAT:STS_INPPD_M(1.0),29/04/23 11:00:00,M,PRIN,B-E36,NSA,I15,AL,2014-06,104.2,
ESTAT:STS_INPPD_M(1.0),29/04/23 11:00:00,M,PRIN,B-E36,NSA,I15,AL,2014-07,103.6,
ESTAT:STS_INPPD_M(1.0),29/04/23 11:00:00,M,PRIN,B-E36,NSA,I15,AL,2014-08,103.5,
ESTAT:STS_INPPD_M(1.0),29/04/23 11:00:00,M,PRIN,B-E36,NSA,I15,AL,2014-09,103.1,
ESTAT:STS_INPPD_M(1.0),29/04/23 11:00:00,M,PRIN,B-E36,NSA,I15,AL,2014-10,102.2,
ESTAT:STS_INPPD_M(1.0),29/04/23 11:00:00,M,PRIN,B-E36,NSA,I15,AL,2014-11,101.7,
ESTAT:STS_INPPD_M(1.0),29/04/23 11:00:00,M,PRIN,B-E36,NSA,I15,AL,2014-12,101.1,
ESTAT:STS_INPPD_M(1.0),29/04/23 11:00:00,M,PRIN,B-E36,NSA,I15,AL,2015-01,99.9,
ESTAT:STS_INPPD_M(1.0),29/04/23 11:00:00,M,PRIN,B-E36,NSA,I15,AL,2015-02,101.1,
ESTAT:STS_INPPD_M(1.0),29/04/23 11:00:00,M,PRIN,B-E36,NSA,I15,AL,2015-03,100.5,
ESTAT:STS_INPPD_M(1.0),29/04/23 11:00:00,M,PRIN,B-E36,NSA,I15,AL,2015-04,100.6,
ESTAT:STS_INPPD_M(1.0),29/04/23 11:00:00,M,PRIN,B-E36,NSA,I15,AL,2015-05,101.2,
ESTAT:STS_INPPD_M(1.0),29/04/23 11:00:00,M,PRIN,B-E36,NSA,I15,AL,2015-06,101.0,
ESTAT:STS_INPPD_M(1.0),29/04/23 11:00:00,M,PRIN,B-E36,NSA,I15,AL,2015-07,99.1,
ESTAT:STS_INPPD_M(1.0),29/04/23 11:00:00,M,PRIN,B-E36,NSA,I15,AL,2015-08,98.8,
ESTAT:STS_INPPD_M(1.0),29/04/23 11:00:00,M,PRIN,B-E36,NSA,I15,AL,2015-09,99.7,
ESTAT:STS_INPPD_M(1.0),29/04/23 11:00:00,M,PRIN,B-E36,NSA,I15,AL,2015-10,98.9,
ESTAT:STS_INPPD_M(1.0),29/04/23 11:00:00,M,PRIN,B-E36,NSA,I15,AL,2015-11,98.7,
ESTAT:STS_INPPD_M(1.0),29/04/23 11:00:00,M,PRIN,B-E36,NSA,I15,AL,2015-12,100.4,
ESTAT:STS_INPPD_M(1.0),29/04/23 11:00:00,M,PRIN,B-E36,NSA,I15,AL,2016-01,99.7,
ESTAT:STS_INPPD_M(1.0),29/04/23 11:00:00,M,PRIN,B-E36,NSA,I15,AL,2016-02,99.9,
ESTAT:STS_INPPD_M(1.0),29/04/23 11:00:00,M,PRIN,B-E36,NSA,I15,AL,2016-03,100.4,
ESTAT:STS_INPPD_M(1.0),29/04/23 11:00:00,M,PRIN,B-E36,NSA,I15,AL,2016-04,100.4,
ESTAT:STS_INPPD_M(1.0),29/04/23 11:00:00,M,PRIN,B-E36,NSA,I15,AL,2016-05,100.4,
ESTAT:STS_INPPD_M(1.0),29/04/23 11:00:00,M,PRIN,B-E36,NSA,I15,AL,2016-06,100.2,
ESTAT:STS_INPPD_M(1.0),29/04/23 11:00:00,M,PRIN,B-E36,NSA,I15,AL,2016-07,99.9,
ESTAT:STS_INPPD_M(1.0),29/04/23 11:00:00,M,PRIN,B-E36,NSA,I15,AL,2016-08,99.7,
ESTAT:STS_INPPD_M(1.0),29/04/23 11:00:00,M,PRIN,B-E36,NSA,I15,AL,2016-09,100.3,
ESTAT:STS_INPPD_M(1.0),29/04/23 11:00:00,M,PRIN,B-E36,NSA,I15,AL,2016-10,100.4,
ESTAT:STS_INPPD_M(1.0),29/04/23 11:00:00,M,PRIN,B-E36,NSA,I15,AL,2016-11,100.3,
ESTAT:STS_INPPD_M(1.0),29/04/23 11:00:00,M,PRIN,B-E36,NSA,I15,AL,2016-12,100.6,
ESTAT:STS_INPPD_M(1.0),29/04/23 11:00:00,M,PRIN,B-E36,NSA,I15,AL,2017-01,101.3,
ESTAT:STS_INPPD_M(1.0),29/04/23 11:00:00,M,PRIN,B-E36,NSA,I15,AL,2017-02,101.5,
ESTAT:STS_INPPD_M(1.0),29/04/23 11:00:00,M,PRIN,B-E36,NSA,I15,AL,2017-03,101.1,
ESTAT:STS_INPPD_M(1.0),29/04/23 11:00:00,M,PRIN,B-E36,NSA,I15,AL,2017-04,100.6,
ESTAT:STS_INPPD_M(1.0),29/04/23 11:00:00,M,PRIN,B-E36,NSA,I15,AL,2017-05,101.0,
ESTAT:STS_INPPD_M(1.0),29/04/23 11:00:00,M,PRIN,B-E36,NSA,I15,AL,2017-06,100.6,
ESTAT:STS_INPPD_M(1.0),29/04/23 11:00:00,M,PRIN,B-E36,NSA,I15,AL,2017-07,100.0,
ESTAT:STS_INPPD_M(1.0),29/04/23 11:00:00,M,PRIN,B-E36,NSA,I15,AL,2017-08,100.4,
ESTAT:STS_INPPD_M(1.0),29/04/23 11:00:00,M,PRIN,B-E36,NSA,I15,AL,2017-09,101.0,
ESTAT:STS_INPPD_M(1.0),29/04/23 11:00:00,M,PRIN,B-E36,NSA,I15,AL,2017-10,100.7,
ESTAT:STS_INPPD_M(1.0),29/04/23 11:00:00,M,PRIN,B-E36,NSA,I15,AL,2017-11,101.5,
ESTAT:STS_INPPD_M(1.0),29/04/23 11:00:00,M,PRIN,B-E36,NSA,I15,AL,2017-12,101.5,
ESTAT:STS_INPPD_M(1.0),29/04/23 11:00:00,M,PRIN,B-E36,NSA,I15,AL,2018-01,102.0,
ESTAT:STS_INPPD_M(1.0),29/04/23 11:00:00,M,PRIN,B-E36,NSA,I15,AL,2018-02,102.0,
ESTAT:STS_INPPD_M(1.0),29/04/23 11:00:00,M,PRIN,B-E36,NSA,I15,AL,2018-03,102.0,
ESTAT:STS_INPPD_M(1.0),29/04/23 11:00:00,M,PRIN,B-E36,NSA,I15,AL,2018-04,101.6,
ESTAT:STS_INPPD_M(1.0),29/04/23 11:00:00,M,PRIN,B-E36,NSA,I15,AL,2018-05,102.0,
ESTAT:STS_INPPD_M(1.0),29/04/23 11:00:00,M,PRIN,B-E36,NSA,I15,AL,2018-06,102.1,
ESTAT:STS_INPPD_M(1.0),29/04/23 11:00:00,M,PRIN,B-E36,NSA,I15,AL,2018-07,101.7,
ESTAT:STS_INPPD_M(1.0),29/04/23 11:00:00,M,PRIN,B-E36,NSA,I15,AL,2018-08,102.7,
ESTAT:STS_INPPD_M(1.0),29/04/23 11:00:00,M,PRIN,B-E36,NSA,I15,AL,2018-09,102.6,
ESTAT:STS_INPPD_M(1.0),29/04/23 11:00:00,M,PRIN,B-E36,NSA,I15,AL,2018-10,102.6,
ESTAT:STS_INPPD_M(1.0),29/04/23 11:00:00,M,PRIN,B-E36,NSA,I15,AL,2018-11,102.2,
ESTAT:STS_INPPD_M(1.0),29/04/23 11:00:00,M,PRIN,B-E36,NSA,I15,AL,2018-12,101.8,
ESTAT:STS_INPPD_M(1.0),29/04/23 11:00:00,M,PRIN,B-E36,NSA,I15,AL,2019-01,101.5,
ESTAT:STS_INPPD_M(1.0),29/04/23 11:00:00,M,PRIN,B-E36,NSA,I15,AL,2019-02,102.2,
ESTAT:STS_INPPD_M(1.0),29/04/23 11:00:00,M,PRIN,B-E36,NSA,I15,AL,2019-03,102.1,
ESTAT:STS_INPPD_M(1.0),29/04/23 11:00:00,M,PRIN,B-E36,NSA,I15,AL,2019-04,102.9,
ESTAT:STS_INPPD_M(1.0),29/04/23 11:00:00,M,PRIN,B-E36,NSA,I15,AL,2019-05,102.9,
ESTAT:STS_INPPD_M(1.0),29/04/23 11:00:00,M,PRIN,B-E36,NSA,I15,AL,2019-06,102.3,
ESTAT:STS_INPPD_M(1.0),29/04/23 11:00:00,M,PRIN,B-E36,NSA,I15,AL,2019-07,102.1,
ESTAT:STS_INPPD_M(1.0),29/04/23 11:00:00,M,PRIN,B-E36,NSA,I15,AL,2019-08,101.7,
ESTAT:STS_INPPD_M(1.0),29/04/23 11:00:00,M,PRIN,B-E36,NSA,I15,AL,2019-09,102.1,
ESTAT:STS_INPPD_M(1.0),29/04/23 11:00:00,M,PRIN,B-E36,NSA,I15,AL,2019-10,101.7,
ESTAT:STS_INPPD_M(1.0),29/04/23 11:00:00,M,PRIN,B-E36,NSA,I15,AL,2019-11,101.8,
ESTAT:STS_INPPD_M(1.0),29/04/23 11:00:00,M,PRIN,B-E36,NSA,I15,AL,2019-12,101.9,
ESTAT:STS_INPPD_M(1.0),29/04/23 11:00:00,M,PRIN,B-E36,NSA,I15,AL,2020-01,101.2,
ESTAT:STS_INPPD_M(1.0),29/04/23 11:00:00,M,PRIN,B-E36,NSA,I15,AL,2020-02,100.9,
ESTAT:STS_INPPD_M(1.0),29/04/23 11:00:00,M,PRIN,B-E36,NSA,I15,AL,2020-03,99.6,
ESTAT:STS_INPPD_M(1.0),29/04/23 11:00:00,M,PRIN,B-E36,NSA,I15,AL,2020-04,99.4,
ESTAT:STS_INPPD_M(1.0),29/04/23 11:00:00,M,PRIN,B-E36,NSA,I15,AL,2020-05,99.7,
ESTAT:STS_INPPD_M(1.0),29/04/23 11:00:00,M,PRIN,B-E36,NSA,I15,AL,2020-06,99.2,
ESTAT:STS_INPPD_M(1.0),29/04/23 11:00:00,M,PRIN,B-E36,NSA,I15,AL,2020-07,99.1,
ESTAT:STS_INPPD_M(1.0),29/04/23 11:00:00,M,PRIN,B-E36,NSA,I15,AL,2020-08,99.2,
ESTAT:STS_INPPD_M(1.0),29/04/23 11:00:00,M,PRIN,B-E36,NSA,I15,AL,2020-09,99.1,
ESTAT:STS_INPPD_M(1.0),29/04/23 11:00:00,M,PRIN,B-E36,NSA,I15,AL,2020-10,100.3,
ESTAT:STS_INPPD_M(1.0),29/04/23 11:00:00,M,PRIN,B-E36,NSA,I15,AL,2020-11,100.5,
ESTAT:STS_INPPD_M(1.0),29/04/23 11:00:00,M,PRIN,B-E36,NSA,I15,AL,2020-12,100.7,
ESTAT:STS_INPPD_M(1.0),29/04/23 11:00:00,M,PRIN,B-E36,NSA,I15,AL,2021-01,100.8,
ESTAT:STS_INPPD_M(1.0),29/04/23 11:00:00,M,PRIN,B-E36,NSA,I15,AL,2021-02,100.9,
ESTAT:STS_INPPD_M(1.0),29/04/23 11:00:00,M,PRIN,B-E36,NSA,I15,AL,2021-03,100.5,
ESTAT:STS_INPPD_M(1.0),29/04/23 11:00:00,M,PRIN,B-E36,NSA,I15,AL,2021-04,101.3,
ESTAT:STS_INPPD_M(1.0),29/04/23 11:00:00,M,PRIN,B-E36,NSA,I15,AL,2021-05,101.3,
ESTAT:STS_INPPD_M(1.0),29/04/23 11:00:00,M,PRIN,B-E36,NSA,I15,AL,2021-06,100.7,
ESTAT:STS_INPPD_M(1.0),29/04/23 11:00:00,M,PRIN,B-E36,NSA,I15,AL,2021-07,102.7,
ESTAT:STS_INPPD_M(1.0),29/04/23 11:00:00,M,PRIN,B-E36,NSA,I15,AL,2021-08,102.6,
ESTAT:STS_INPPD_M(1.0),29/04/23 11:00:00,M,PRIN,B-E36,NSA,I15,AL,2021-09,102.6,
ESTAT:STS_INPPD_M(1.0),29/04/23 11:00:00,M,PRIN,B-E36,NSA,I15,AL,2021-10,104.0,
ESTAT:STS_INPPD_M(1.0),29/04/23 11:00:00,M,PRIN,B-E36,NSA,I15,AL,2021-11,104.1,
ESTAT:STS_INPPD_M(1.0),29/04/23 11:00:00,M,PRIN,B-E36,NSA,I15,AL,2021-12,103.3,
ESTAT:STS_INPPD_M(1.0),29/04/23 11:00:00,M,PRIN,B-E36,NSA,I15,AL,2022-01,113.8,
ESTAT:STS_INPPD_M(1.0),29/04/23 11:00:00,M,PRIN,B-E36,NSA,I15,AL,2022-02,114.9,
ESTAT:STS_INPPD_M(1.0),29/04/23 11:00:00,M,PRIN,B-E36,NSA,I15,AL,2022-03,116.0,
ESTAT:STS_INPPD_M(1.0),29/04/23 11:00:00,M,PRIN,B-E36,NSA,I15,AL,2022-04,116.8,
ESTAT:STS_INPPD_M(1.0),29/04/23 11:00:00,M,PRIN,B-E36,NSA,I15,AL,2022-05,117.4,
ESTAT:STS_INPPD_M(1.0),29/04/23 11:00:00,M,PRIN,B-E36,NSA,I15,AL,2022-06,117.3,
ESTAT:STS_INPPD_M(1.0),29/04/23 11:00:00,M,PRIN,B-E36,NSA,I15,AT,2000-01,81.9,
ESTAT:STS_INPPD_M(1.0),29/04/23 11:00:00,M,PRIN,B-E36,NSA,I15,AT,2000-02,82.3,
ESTAT:STS_INPPD_M(1.0),29/04/23 11:00:00,M,PRIN,B-E36,NSA,I15,AT,2000-03,82.5,
ESTAT:STS_INPPD_M(1.0),29/04/23 11:00:00,M,PRIN,B-E36,NSA,I15,AT,2000-04,82.4,
ESTAT:STS_INPPD_M(1.0),29/04/23 11:00:00,M,PRIN,B-E36,NSA,I15,AT,2000-05,82.9,
ESTAT:STS_INPPD_M(1.0),29/04/23 11:00:00,M,PRIN,B-E36,NSA,I15,AT,2000-06,83.2,
ESTAT:STS_INPPD_M(1.0),29/04/23 11:00:00,M,PRIN,B-E36,NSA,I15,AT,2000-07,83.2,
ESTAT:STS_INPPD_M(1.0),29/04/23 11:00:00,M,PRIN,B-E36,NSA,I15,AT,2000-08,83.6,
ESTAT:STS_INPPD_M(1.0),29/04/23 11:00:00,M,PRIN,B-E36,NSA,I15,AT,2000-09,84.9,
ESTAT:STS_INPPD_M(1.0),29/04/23 11:00:00,M,PRIN,B-E36,NSA,I15,AT,2000-10,84.8,
ESTAT:STS_INPPD_M(1.0),29/04/23 11:00:00,M,PRIN,B-E36,NSA,I15,AT,2000-11,84.7,
ESTAT:STS_INPPD_M(1.0),29/04/23 11:00:00,M,PRIN,B-E36,NSA,I15,AT,2000-12,84.3,
ESTAT:STS_INPPD_M(1.0),29/04/23 11:00:00,M,PRIN,B-E36,NSA,I15,AT,2001-01,83.8,
ESTAT:STS_INPPD_M(1.0),29/04/23 11:00:00,M,PRIN,B-E36,NSA,I15,AT,2001-02,83.7,
ESTAT:STS_INPPD_M(1.0),29/04/23 11:00:00,M,PRIN,B-E36,NSA,I15,AT,2001-03,83.7,
ESTAT:STS_INPPD_M(1.0),29/04/23 11:00:00,M,PRIN,B-E36,NSA,I15,AT,2001-04,83.7,
ESTAT:STS_INPPD_M(1.0),29/04/23 11:00:00,M,PRIN,B-E36,NSA,I15,AT,2001-05,83.8,
ESTAT:STS_INPPD_M(1.0),29/04/23 11:00:00,M,PRIN,B-E36,NSA,I15,AT,2001-06,84.0,
ESTAT:STS_INPPD_M(1.0),29/04/23 11:00:00,M,PRIN,B-E36,NSA,I15,AT,2001-07,83.7,
ESTAT:STS_INPPD_M(1.0),29/04/23 11:00:00,M,PRIN,B-E36,NSA,I15,AT,2001-08,83.4,
ESTAT:STS_INPPD_M(1.0),29/04/23 11:00:00,M,PRIN,B-E36,NSA,I15,AT,2001-09,83.5,
ESTAT:STS_INPPD_M(1.0),29/04/23 11:00:00,M,PRIN,B-E36,NSA,I15,AT,2001-10,83.1,
ESTAT:STS_INPPD_M(1.0),29/04/23 11:00:00,M,PRIN,B-E36,NSA,I15,AT,2001-11,82.8,
ESTAT:STS_INPPD_M(1.0),29/04/23 11:00:00,M,PRIN,B-E36,NSA,I15,AT,2001-12,82.4,
ESTAT:STS_INPPD_M(1.0),29/04/23 11:00:00,M,PRIN,B-E36,NSA,I15,AT,2002-01,82.2,
ESTAT:STS_INPPD_M(1.0),29/04/23 11:00:00,M,PRIN,B-E36,NSA,I15,AT,2002-02,81.7,
ESTAT:STS_INPPD_M(1.0),29/04/23 11:00:00,M,PRIN,B-E36,NSA,I15,AT,2002-03,82.3,
ESTAT:STS_INPPD_M(1.0),29/04/23 11:00:00,M,PRIN,B-E36,NSA,I15,AT,2002-04,82.4,
ESTAT:STS_INPPD_M(1.0),29/04/23 11:00:00,M,PRIN,B-E36,NSA,I15,AT,2002-05,82.6,
ESTAT:STS_INPPD_M(1.0),29/04/23 11:00:00,M,PRIN,B-E36,NSA,I15,AT,2002-06,82.2,
ESTAT:STS_INPPD_M(1.0),29/04/23 11:00:00,M,PRIN,B-E36,NSA,I15,AT,2002-07,82.2,
ESTAT:STS_INPPD_M(1.0),29/04/23 11:00:00,M,PRIN,B-E36,NSA,I15,AT,2002-08,82.3,
ESTAT:STS_INPPD_M(1.0),29/04/23 11:00:00,M,PRIN,B-E36,NSA,I15,AT,2002-09,82.5,
ESTAT:STS_INPPD_M(1.0),29/04/23 11:00:00,M,PRIN,B-E36,NSA,I15,AT,2002-10,82.6,
ESTAT:STS_INPPD_M(1.0),29/04/23 11:00:00,M,PRIN,B-E36,NSA,I15,AT,2002-11,82.2,
ESTAT:STS_INPPD_M(1.0),29/04/23 11:00:00,M,PRIN,B-E36,NSA,I15,AT,2002-12,82.3,
ESTAT:STS_INPPD_M(1.0),29/04/23 11:00:00,M,PRIN,B-E36,NSA,I15,AT,2003-01,82.9,
ESTAT:STS_INPPD_M(1.0),29/04/23 11:00:00,M,PRIN,B-E36,NSA,I15,AT,2003-02,83.4,
ESTAT:STS_INPPD_M(1.0),29/04/23 11:00:00,M,PRIN,B-E36,NSA,I15,AT,2003-03,83.5,
