date,geo,yhat,bic,rmse,mae,acf
2022-09-01,AT,126.1,44.185811278903465,0.4595417893451112,0.2962087425090544,0.23698206713015335
2022-10-01,AT,126.1,44.185811278903465,0.4595417893451112,0.2962087425090544,0.23698206713015335
2022-11-01,AT,126.1,44.185811278903465,0.4595417893451112,0.2962087425090544,0.23698206713015335
2022-12-01,AT,126.1,44.185811278903465,0.4595417893451112,0.2962087425090544,0.23698206713015335
2022-09-01,BE,117.7,50.89578765041884,0.5120669333887266,0.3771836949752251,-0.31685576974593693
2022-10-01,BE,117.7,50.89578765041884,0.5120669333887266,0.3771836949752251,-0.31685576974593693
2022-11-01,BE,117.7,50.89578765041884,0.5120669333887266,0.3771836949752251,-0.31685576974593693
2022-12-01,BE,117.7,50.89578765041884,0.5120669333887266,0.3771836949752251,-0.31685576974593693
2022-09-01,BG,129.8,16.537385101479895,0.2942081603276323,0.19082828125174373,0.2279550445755603
2022-10-01,BG,129.8,16.537385101479895,0.2942081603276323,0.19082828125174373,0.2279550445755603
2022-11-01,BG,129.8,16.537385101479895,0.2942081603276323,0.19082828125174373,0.2279550445755603
2022-12-01,BG,129.8,16.537385101479895,0.2942081603276323,0.19082828125174373,0.2279550445755603
2022-09-01,CY,132.7,89.71623082454146,0.9577545102711346,0.4735717425267521,-0.14751622997941202
2022-10-01,CY,132.7,89.71623082454146,0.9577545102711346,0.4735717425267521,-0.14751622997941202
2022-11-01,CY,132.7,89.71623082454146,0.9577545102711346,0.4735717425267521,-0.14751622997941202
2022-12-01,CY,132.7,89.71623082454146,0.9577545102711346,0.4735717425267521,-0.14751622997941202
2022-09-01,CZ,116.3,77.74765715978486,0.7896185485176896,0.4856834661364244,0.1277967108702713
2022-10-01,CZ,116.3,77.74765715978486,0.7896185485176896,0.4856834661364244,0.1277967108702713
2022-11-01,CZ,116.3,77.74765715978486,0.7896185485176896,0.4856834661364244,0.1277967108702713
2022-12-01,CZ,116.3,77.74765715978486,0.7896185485176896,0.4856834661364244,0.1277967108702713
2022-09-01,DE,94.11201928047431,75.56032779149989,0.6565172855451005,0.41751863367765263,-0.03643739852144704
2022-10-01,DE,94.03289437775614,75.56032779149989,0.6565172855451005,0.41751863367765263,-0.03643739852144704
2022-11-01,DE,94.175,75.56032779149989,0.6565172855451005,0.41751863367765263,-0.03643739852144704
2022-12-01,DE,94.175,75.56032779149989,0.6565172855451005,0.41751863367765263,-0.03643739852144704
2022-09-01,DK,136.12911101309416,34.34775621941918,0.34941307533357324,0.2772407130708101,-0.0496183651764436
2022-10-01,DK,137.07198954901742,34.34775621941918,0.34941307533357324,0.2772407130708101,-0.0496183651764436
2022-11-01,DK,138.01486808494064,34.34775621941918,0.34941307533357324,0.2772407130708101,-0.0496183651764436
2022-12-01,DK,138.9577466208639,34.34775621941918,0.34941307533357324,0.2772407130708101,-0.0496183651764436
2022-09-01,EE,123.9,78.89737856195327,0.8043977697660332,0.5816043062443221,-0.10583513754369521
2022-10-01,EE,123.9,78.89737856195327,0.8043977697660332,0.5816043062443221,-0.10583513754369521
2022-11-01,EE,123.9,78.89737856195327,0.8043977697660332,0.5816043062443221,-0.10583513754369521
2022-12-01,EE,123.9,78.89737856195327,0.8043977697660332,0.5816043062443221,-0.10583513754369521
2022-09-01,EL,122.19162575648159,57.80253785742311,0.5400080036215941,0.43100241499054526,0.0063955166414568785
2022-10-01,EL,122.19162575648159,57.80253785742311,0.5400080036215941,0.43100241499054526,0.0063955166414568785
2022-11-01,EL,122.19162575648159,57.80253785742311,0.5400080036215941,0.43100241499054526,0.0063955166414568785
2022-12-01,EL,122.19162575648159,57.80253785742311,0.5400080036215941,0.43100241499054526,0.0063955166414568785
2022-09-01,ES,107.1,69.06657588632531,0.6864494216418626,0.3511052201065729,0.2656516828802672
2022-10-01,ES,107.1,69.06657588632531,0.6864494216418626,0.3511052201065729,0.2656516828802672
2022-11-01,ES,107.1,69.06657588632531,0.6864494216418626,0.3511052201065729,0.2656516828802672
2022-12-01,ES,107.1,69.06657588632531,0.6864494216418626,0.3511052201065729,0.2656516828802672
2022-09-01,FI,117.74723269044746,55.59064813026712,0.5205185436354186,0.43884450224681854,-0.010466990539377566
2022-10-01,FI,117.74723269044746,55.59064813026712,0.5205185436354186,0.43884450224681854,-0.010466990539377566
2022-11-01,FI,117.74723269044746,55.59064813026712,0.5205185436354186,0.43884450224681854,-0.010466990539377566
2022-12-01,FI,117.74723269044746,55.59064813026712,0.5205185436354186,0.43884450224681854,-0.010466990539377566
2022-09-01,FR,100.38958943607763,73.72495135723382,0.6371794578044948,0.4233269310078583,-0.00902733419944654
2022-10-01,FR,97.71379833623648,73.72495135723382,0.6371794578044948,0.4233269310078583,-0.00902733419944654
2022-11-01,FR,96.209375,73.72495135723382,0.6371794578044948,0.4233269310078583,-0.00902733419944654
2022-12-01,FR,96.209375,73.72495135723382,0.6371794578044948,0.4233269310078583,-0.00902733419944654
2022-09-01,HR,111.1,49.80442330956229,0.503132057216571,0.3369544919324291,0.21264303840807225
2022-10-01,HR,111.1,49.80442330956229,0.503132057216571,0.3369544919324291,0.21264303840807225
2022-11-01,HR,111.1,49.80442330956229,0.503132057216571,0.3369544919324291,0.21264303840807225
2022-12-01,HR,111.1,49.80442330956229,0.503132057216571,0.3369544919324291,0.21264303840807225
2022-09-01,HU,127,65.09235779571223,0.6438284095721362,0.3530546348513776,0.21784515564070342
2022-10-01,HU,127,65.09235779571223,0.6438284095721362,0.3530546348513776,0.21784515564070342
