geo,sigma,ma1,ma2,drift,ar1,ar2
DE,0.4597492759674741,1.0651411727135138,0.5042121768352694,NA,NA,NA
DK,0.13471944520172724,-0.49451114257601925,NA,0.09129950506519272,NA,NA
EL,0.3110492202404048,-0.404618206763549,NA,NA,NA,NA
FI,0.28900219121955967,-0.4669227153915992,NA,NA,NA,NA
FR,0.433064172211232,1.108992894496166,0.3687842999707346,NA,NA,NA
MT,0.5817407747638605,NA,NA,NA,0.813084135381987,-0.32932103677721014
PT,0.3915878679034623,NA,NA,NA,1.032684596272742,-0.5385498018483419
RO,0.4400859993771378,0.5881640152391263,NA,NA,0.42876509392680556,NA
SK,0.299405719750213,1.402052930523207,0.6022380195664178,NA,NA,NA
