geo,ar1,ma1,ma2,ma3,ma4,ma5,ma6,ma7,sma1,sma2,sigma,sar1,sar2,ar2,ar3,drift,ar4,ar5,ar6
AT,0.8245638544946344,-0.22047938325370764,-0.019491038668284173,-0.3467970330170653,-0.1900611911025221,0.18843006825182534,0.19419313296740365,0.3844841152264559,-0.6487546863390717,0.11237475583273261,0.1002825182408367,NA,NA,NA,NA,NA,NA,NA,NA
BE,0.8572297713072532,0.014883512726644049,-0.1141613949313617,-0.13938085390940474,-0.028176462537282822,NA,NA,NA,-0.42144173117706346,NA,0.06633676738047342,-0.019161133343119842,-0.18677085160771356,NA,NA,NA,NA,NA,NA
CY,2.3336421525462328,-1.2394511936483388,0.6981773778456546,NA,NA,NA,NA,NA,-0.4527743077361559,-0.09305308302113278,0.027905966444968164,NA,NA,-2.1012323490760423,0.7034703726724004,NA,NA,NA,NA
CZ,0.8930114788845666,0.37147671320817205,-0.08416906120953149,-0.3128669421573986,NA,NA,NA,NA,0.10494587220023444,-0.5304564470430162,0.04141397906958731,-0.6562371839398372,NA,NA,NA,NA,NA,NA,NA
DE,1.3588761873003408,-0.41424756156259185,0.010673485846681255,-0.19995947781218676,NA,NA,NA,NA,-0.6350579589242442,-0.20489715512025242,0.042238868743273796,NA,NA,-0.4146062338914778,NA,0.0024357687566473364,NA,NA,NA
DK,1.120252718282864,-0.43204571788005053,-0.43110425622815407,0.10375094382681635,NA,NA,NA,NA,-0.6328294080394611,NA,0.058175532896179126,0.0665981882685249,-0.2738778794032254,-0.25160027338573704,NA,NA,NA,NA,NA
EL,1.3668384095434962,0.15365299884523959,NA,NA,NA,NA,NA,NA,-0.47680143407512765,-0.13068538312710426,0.017192683627616008,NA,NA,-0.5362516943194717,NA,NA,NA,NA,NA
ES,0.8968949186988597,0.18329860203239473,0.27767478751472874,NA,NA,NA,NA,NA,-0.6276823804199331,NA,0.020814731664107036,NA,NA,NA,NA,NA,NA,NA,NA
FI,-0.15187488359993612,1.1035277388274958,0.9175578781648052,0.08854181206919488,-0.14157037554860874,NA,NA,NA,-0.47035752361499983,-0.20815808115340084,0.029397539400365394,NA,NA,0.01924130155085843,0.6477318639446981,0.003046336487526082,NA,NA,NA
FR,0.3420021269476956,0.5201814492025891,0.26430465068549985,0.147244766062486,NA,NA,NA,NA,-0.35218162818428067,NA,0.11418905289086656,NA,NA,-0.2358915561685661,-0.14797794265863906,NA,-0.1629787634752016,0.7233696164321606,-0.4514783111016753
HR,0.5937329586451605,0.5140924899244497,0.23349731771247886,NA,NA,NA,NA,NA,-0.31141263327142765,NA,0.023806814640196197,NA,NA,NA,NA,NA,NA,NA,NA
HU,0.8688322542015919,0.13426889469834155,0.1669482936773646,NA,NA,NA,NA,NA,-0.46860114739730147,-0.11321422867072767,0.03056842007184344,NA,NA,NA,NA,NA,NA,NA,NA
IT,1.1875483989147897,-0.3185337442383205,0.8241671934565264,NA,NA,NA,NA,NA,0.058087865620073925,-0.44086910540932633,0.010695100961301832,-0.8331786940331791,-0.30160355019429297,-0.8494852662138366,0.47265989331912533,NA,NA,NA,NA
LT,0.8637848709828471,0.4621399816222515,0.14122382790109267,NA,NA,NA,NA,NA,-0.44199379536272265,NA,0.025532191703590036,NA,NA,NA,NA,NA,NA,NA,NA
LU,0.7627798290804104,-0.14834859153636995,NA,NA,NA,NA,NA,NA,-0.37238962910776835,-0.16158813712634953,0.039812631806554706,NA,NA,NA,NA,NA,NA,NA,NA
LV,0.8994944865012845,0.2542423979957543,NA,NA,NA,NA,NA,NA,-0.6038443497924414,NA,0.04110017394513441,NA,NA,NA,NA,NA,NA,NA,NA
MT,0.7840697581930078,0.31139896488234686,0.12335943837591591,NA,NA,NA,NA,NA,-0.5309157851082537,-0.15378672930930937,0.07244976172876894,NA,NA,NA,NA,NA,NA,NA,NA
NL,NA,0.5990613793366829,0.5726402674045137,0.2171118786859026,NA,NA,NA,NA,0.02343593973235543,-0.71039485445194706,0.04446085057132713,-0.6931273342788644,NA,NA,NA,0.0032526092823442474,NA,NA,NA
PL,0.8139940968261978,0.5580918619443039,0.19522038407732417,NA,NA,NA,NA,NA,-0.6580734161282428,NA,0.023212532303677594,0.07903477310848817,NA,NA,NA,0.004946256876155373,NA,NA,NA
PT,0.8464081425649244,0.28952337336232103,0.243106202174375,0.11423268185906665,NA,NA,NA,NA,-0.8002451595865554,NA,0.023582192009567644,NA,NA,NA,NA,0.003141230381483775,NA,NA,NA
RO,0.8267757485023824,0.38547868262459994,NA,NA,NA,NA,NA,NA,-0.5420405541583456,NA,0.02828976667730333,NA,NA,NA,NA,NA,NA,NA,NA
SE,0.8011418712827298,0.13269988678693853,-0.14821996198111004,NA,NA,NA,NA,NA,-0.10657907185900947,NA,0.029327761324578414,NA,NA,NA,NA,NA,NA,NA,NA
SI,0.7231983343817445,0.276922634332571,0.3785369057615786,NA,NA,NA,NA,NA,-0.40784603378316936,NA,0.03357268133859018,NA,NA,NA,NA,NA,NA,NA,NA
SK,0.7911080428985948,0.3946275595005275,NA,NA,NA,NA,NA,NA,NA,NA,0.06689063578485845,-0.4572668002949337,-0.4726466854670344,NA,NA,NA,NA,NA,NA
