month_end,geo,yhat,bic,rmse,mae,acf
2022-11-01,AT,6145748.493090636,269.6196431050724,0.3077060070350594,0.18802231330491184,0.013680677038251633
2022-12-01,AT,8352585.814960072,269.6196431050724,0.3077060070350594,0.18802231330491184,0.013680677038251633
2023-01-01,AT,8119131.819657697,269.6196431050724,0.3077060070350594,0.18802231330491184,0.013680677038251633
2023-02-01,AT,5774942.685857337,269.6196431050724,0.3077060070350594,0.18802231330491184,0.013680677038251633
2022-12-01,BE,2411551.1742680636,98.32819897872017,0.2509540669438121,0.1496014936053266,0.002234729586637517
2023-01-01,BE,1815068.4784784524,98.32819897872017,0.2509540669438121,0.1496014936053266,0.002234729586637517
2023-02-01,BE,2206217.231642589,98.32819897872017,0.2509540669438121,0.1496014936053266,0.002234729586637517
2023-03-01,BE,2339824.824729698,98.32819897872017,0.2509540669438121,0.1496014936053266,0.002234729586637517
2021-11-01,CY,954540.7651711935,-228.29080826341254,0.16284340130793698,0.08579871129687197,0.03635880971723895
2021-12-01,CY,443870.2298262846,-228.29080826341254,0.16284340130793698,0.08579871129687197,0.03635880971723895
2022-01-01,CY,317115.5158771579,-228.29080826341254,0.16284340130793698,0.08579871129687197,0.03635880971723895
2022-02-01,CY,412827.3310316617,-228.29080826341254,0.16284340130793698,0.08579871129687197,0.03635880971723895
2022-12-01,CZ,2522132.2144756643,-37.43836761886,0.1956503420676088,0.12738476944689123,0.00828014690421778
2023-01-01,CZ,2486640.33633973,-37.43836761886,0.1956503420676088,0.12738476944689123,0.00828014690421778
2023-02-01,CZ,3172349.625503879,-37.43836761886,0.1956503420676088,0.12738476944689123,0.00828014690421778
2023-03-01,CZ,2776275.166251792,-37.43836761886,0.1956503420676088,0.12738476944689123,0.00828014690421778
2022-12-01,DE,22725374.448105764,-65.33312173670353,0.2002503229582419,0.11597184955604621,0.009779844485290356
2023-01-01,DE,20149070.14200571,-65.33312173670353,0.2002503229582419,0.11597184955604621,0.009779844485290356
2023-02-01,DE,21897661.5573559,-65.33312173670353,0.2002503229582419,0.11597184955604621,0.009779844485290356
2023-03-01,DE,24598131.468929004,-65.33312173670353,0.2002503229582419,0.11597184955604621,0.009779844485290356
2022-10-01,DK,1342370.841317871,53.07227429672458,0.23494638178370478,0.12812516354176798,-0.02282441005657072
2022-11-01,DK,1086930.9847102729,53.07227429672458,0.23494638178370478,0.12812516354176798,-0.02282441005657072
2022-12-01,DK,1434168.4881622847,53.07227429672458,0.23494638178370478,0.12812516354176798,-0.02282441005657072
2023-01-01,DK,1547864.044962814,53.07227429672458,0.23494638178370478,0.12812516354176798,-0.02282441005657072
2022-12-01,EL,1264216.8724737,-373.2660767891579,0.12786864654706764,0.07491920983670058,2.8014314700165147e-4
2023-01-01,EL,692383.8619642323,-373.2660767891579,0.12786864654706764,0.07491920983670058,2.8014314700165147e-4
2023-02-01,EL,671638.0570641859,-373.2660767891579,0.12786864654706764,0.07491920983670058,2.8014314700165147e-4
2023-03-01,EL,1063918.4461256107,-373.2660767891579,0.12786864654706764,0.07491920983670058,2.8014314700165147e-4
2022-12-01,ES,21472711.578430444,-362.2814279179615,0.141320923054241,0.08234518948758007,0.015532647686394573
2023-01-01,ES,17918428.883487485,-362.2814279179615,0.141320923054241,0.08234518948758007,0.015532647686394573
2023-02-01,ES,19538745.360494327,-362.2814279179615,0.141320923054241,0.08234518948758007,0.015532647686394573
2023-03-01,ES,21114319.86504891,-362.2814279179615,0.141320923054241,0.08234518948758007,0.015532647686394573
2022-12-01,FI,1639176.2713096673,-200.15920456091226,0.16661394927193404,0.09582778665332066,0.004513276546923132
2023-01-01,FI,1291682.1086654852,-200.15920456091226,0.16661394927193404,0.09582778665332066,0.004513276546923132
2023-02-01,FI,1600091.9082670473,-200.15920456091226,0.16661394927193404,0.09582778665332066,0.004513276546923132
2023-03-01,FI,1693896.9428638946,-200.15920456091226,0.16661394927193404,0.09582778665332066,0.004513276546923132
2013-12-01,FR,16949594.339082666,208.51918158066883,0.3217126262626756,0.21023366549607153,0.01513453252267222
2014-01-01,FR,13572506.038757198,208.51918158066883,0.3217126262626756,0.21023366549607153,0.01513453252267222
2014-02-01,FR,17623182.640773322,208.51918158066883,0.3217126262626756,0.21023366549607153,0.01513453252267222
2014-03-01,FR,17260817.248758838,208.51918158066883,0.3217126262626756,0.21023366549607153,0.01513453252267222
2022-12-01,HR,436335.8136981055,-178.57407940025044,0.14904044078921436,0.07691345927125945,7.340800975838904e-4
2023-01-01,HR,421355.79157470074,-178.57407940025044,0.14904044078921436,0.07691345927125945,7.340800975838904e-4
2023-02-01,HR,482909.4934431249,-178.57407940025044,0.14904044078921436,0.07691345927125945,7.340800975838904e-4
2023-03-01,HR,672802.1947291559,-178.57407940025044,0.14904044078921436,0.07691345927125945,7.340800975838904e-4
2022-12-01,HU,1597107.550089681,-129.0663517556457,0.16909321273165992,0.10445611698616471,0.001854307077886208
2023-01-01,HU,1309512.371787909,-129.0663517556457,0.16909321273165992,0.10445611698616471,0.001854307077886208
2023-02-01,HU,1370446.094828119,-129.0663517556457,0.16909321273165992,0.10445611698616471,0.001854307077886208
2023-03-01,HU,1489497.4297192178,-129.0663517556457,0.16909321273165992,0.10445611698616471,0.001854307077886208
2022-12-01,IT,16864097.776859254,-586.9354152339507,0.1006305155359451,0.06348359524375573,0.014120201778539882
2023-01-01,IT,14894172.025689114,-586.9354152339507,0.1006305155359451,0.06348359524375573,0.014120201778539882
2023-02-01,IT,14205548.313842883,-586.9354152339507,0.1006305155359451,0.06348359524375573,0.014120201778539882
